competencia,tipo,url,bytes,data_modificacao_ftp
202411,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202411/CAGEDMOV202411.7z,48630492,2026-06-16T17:10:34Z
202411,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202411/CAGEDFOR202411.7z,455124,2026-06-16T17:10:33Z
202411,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202411/CAGEDEXC202411.7z,88855,2026-06-16T17:10:33Z
202412,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202412/CAGEDMOV202412.7z,45136741,2026-06-16T17:11:38Z
202412,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202412/CAGEDFOR202412.7z,533176,2026-06-16T17:11:36Z
202412,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202412/CAGEDEXC202412.7z,71107,2026-06-16T17:11:36Z
202501,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202501/CAGEDMOV202501.7z,55719173,2026-06-16T17:14:04Z
202501,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202501/CAGEDFOR202501.7z,544766,2026-06-16T17:14:03Z
202501,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202501/CAGEDEXC202501.7z,104511,2026-06-16T17:14:03Z
202502,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202502/CAGEDMOV202502.7z,60011810,2026-06-16T17:15:22Z
202502,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202502/CAGEDFOR202502.7z,762643,2026-06-16T17:15:20Z
202502,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202502/CAGEDEXC202502.7z,101816,2026-06-16T17:15:20Z
202503,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202503/CAGEDMOV202503.7z,55662990,2026-06-16T17:18:00Z
202503,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202503/CAGEDFOR202503.7z,858550,2026-06-16T17:17:58Z
202503,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202503/CAGEDEXC202503.7z,142490,2026-06-16T17:17:58Z
202504,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202504/CAGEDMOV202504.7z,54571341,2026-06-16T17:19:05Z
202504,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202504/CAGEDFOR202504.7z,496301,2026-06-16T17:19:03Z
202504,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202504/CAGEDEXC202504.7z,80318,2026-06-16T17:19:03Z
202505,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202505/CAGEDMOV202505.7z,53785854,2026-06-16T17:20:00Z
202505,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202505/CAGEDFOR202505.7z,1445949,2026-06-16T17:19:58Z
202505,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202505/CAGEDEXC202505.7z,168980,2026-06-16T17:19:58Z
202506,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202506/CAGEDMOV202506.7z,50842824,2026-06-16T17:22:31Z
202506,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202506/CAGEDFOR202506.7z,667427,2026-06-16T17:22:30Z
202506,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202506/CAGEDEXC202506.7z,105966,2026-06-16T17:22:30Z
202507,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202507/CAGEDMOV202507.7z,54073599,2026-06-16T17:24:51Z
202507,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202507/CAGEDFOR202507.7z,933977,2026-06-16T17:24:49Z
202507,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202507/CAGEDEXC202507.7z,126064,2026-06-16T17:24:49Z
202508,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202508/CAGEDMOV202508.7z,53665905,2026-06-16T17:25:52Z
202508,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202508/CAGEDFOR202508.7z,561394,2026-06-16T17:25:51Z
202508,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202508/CAGEDEXC202508.7z,111149,2026-06-16T17:25:51Z
202509,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202509/CAGEDMOV202509.7z,53975596,2026-06-16T17:27:34Z
202509,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202509/CAGEDFOR202509.7z,655984,2026-06-16T17:27:32Z
