cbo_4d,periodo,periodo_num,post,admissoes,desligamentos,n_movimentacoes,ln_salario_real_adm,asinh_saldo,treatment,post_treat
2392,2021-07,202107,0,64,352,416,7.661991563242027,-6.356110674764055,0,0
2392,2021-08,202108,0,506,148,654,7.71637821393087,6.573682117580699,0,0
2392,2021-09,202109,0,191,121,312,7.5665945432646975,4.941693439113287,0,0
2392,2021-10,202110,0,168,88,256,7.606331963657767,5.0752128754452075,0,0
2392,2021-11,202111,0,109,85,194,7.633777264361365,3.8716347563877314,0,0
2392,2021-12,202112,0,23,649,672,7.744274786924719,-7.132498189616338,0,0
2392,2022-01,202201,0,160,165,325,7.82356597753377,-2.3124383412727525,0,0
2392,2022-02,202202,0,1527,347,1874,8.502026900914426,7.766417077565715,0,0
2392,2022-03,202203,0,640,263,903,8.799901325319881,6.625394126968762,0,0
2392,2022-04,202204,0,463,182,645,8.35273049087472,6.331505015998638,0,0
2392,2022-05,202205,0,314,222,536,9.253251885419544,5.214965293162436,0,0
2392,2022-06,202206,0,243,194,437,9.116644462508818,4.585071585693813,0,0
2392,2022-07,202207,0,180,187,367,8.424875660949915,-2.644120761058629,0,0
2392,2022-08,202208,0,397,196,593,7.801639714765844,5.99645827652723,0,0
2392,2022-09,202209,0,231,165,396,8.2366407949937,4.882859309749067,0,0
2392,2022-10,202210,0,128,101,229,7.8231633850090345,3.989326805819546,0,0
2392,2022-11,202211,0,109,108,217,7.785735618589879,0.881373587019543,0,0
2392,2022-12,202212,1,34,1171,1205,7.930868060179793,-7.729295867693775,0,0
2392,2023-01,202301,1,260,250,510,8.010881644565368,2.99822295029797,0,0
2392,2023-02,202302,1,1736,357,2093,9.920527315814642,7.922261189818624,0,0
2392,2023-03,202303,1,896,323,1219,9.06066457540074,7.044033658705184,0,0
2392,2023-04,202304,1,571,213,784,8.77598229844857,6.573682117580699,0,0
2392,2023-05,202305,1,406,224,630,8.771978139701302,5.897161414948955,0,0
2392,2023-06,202306,1,303,233,536,8.355469691062302,4.941693439113287,0,0
2392,2023-07,202307,1,161,241,402,8.306375501000105,-5.0752128754452075,0,0
2392,2023-08,202308,1,747,261,1008,7.891047734973084,6.879356862901747,0,0
2392,2023-09,202309,1,244,173,417,7.819461663473844,4.9558766472470746,0,0
2392,2023-10,202310,1,223,147,370,8.617336747010684,5.023923800584955,0,0
2392,2023-11,202311,1,115,168,283,7.928027172687092,-4.663528081877013,0,0
2392,2023-12,202312,1,49,1597,1646,8.598882742512144,-8.037866339036933,0,0
2392,2024-01,202401,1,197,310,507,7.888376436986732,-5.420554577364409,0,0
2392,2024-02,202402,1,2145,462,2607,8.03353887042128,8.121480463012336,0,0
2392,2024-03,202403,1,835,341,1176,7.9469513143944015,6.895683722185311,0,0
2392,2024-04,202404,1,572,316,888,7.953820092840137,6.238328439714945,0,0
2392,2024-05,202405,1,646,280,926,8.1194259818509,6.595782380240538,0,0
2392,2024-06,202406,1,440,245,685,7.932165241320632,5.966153313680814,0,0
2392,2024-07,202407,1,215,314,529,7.939250134347997,-5.288292537319899,0,0
2392,2024-08,202408,1,444,262,706,7.930841129236792,5.897161414948955,0,0
2392,2024-09,202409,1,359,205,564,7.8994253972927275,5.730110324213542,0,0
2392,2024-10,202410,1,251,182,433,7.850383638722595,4.927306190998636,0,0
2392,2024-11,202411,1,110,151,261,7.846384033138986,-4.406867935097715,0,0
2392,2024-12,202412,1,37,1597,1634,7.896892316128243,-8.04558838353198,0,0
2392,2025-01,202501,1,248,428,676,7.979145174847103,-5.886111747410234,0,0
2392,2025-02,202502,1,2484,512,2996,7.878083348511701,8.279950780009969,0,0
2392,2025-03,202503,1,710,422,1132,7.863991476010221,6.356110674764055,0,0
2392,2025-04,202504,1,563,373,936,7.956389135771455,5.940178177856251,0,0
2392,2025-05,202505,1,542,291,833,7.94777189585795,6.218604087859091,0,0
2392,2025-06,202506,1,391,270,661,7.915826498409125,5.488954801055736,0,0
2392,2025-07,202507,1,277,358,635,7.863350700773849,-5.087634437002271,0,0
2392,2025-08,202508,1,464,325,789,7.868754137855787,5.6276340527283635,0,0
2392,2025-09,202509,1,377,250,627,7.841890898977085,5.5373497666891724,0,0
2392,2025-10,202510,1,255,219,474,7.904269780208626,4.276858964458208,0,0
2392,2025-11,202511,1,146,158,304,7.833494170804038,-3.179785437699879,0,0
2392,2025-12,202512,1,27,1900,1927,7.940889716101887,-8.228443954267084,0,0
2392,2026-01,202601,1,244,430,674,8.058751192691338,-5.918901080463752,0,0
2392,2026-02,202602,1,2283,576,2859,7.982133459466797,8.135639989151546,0,0
2392,2026-03,202603,1,1341,545,1886,7.9039902911593725,7.372746760964838,0,0
2392,2026-04,202604,1,614,387,1001,7.891167096648024,6.118102049642983,0,0
2392,2026-05,202605,1,497,328,825,7.9135165650336114,5.8230546485630095,0,0
2394,2021-01,202101,0,2620,2688,5308,8.233293355793974,-4.912708947095866,1,0
2394,2021-02,202102,0,4493,2551,7044,8.004676837826002,8.264620895700222,1,0
2394,2021-03,202103,0,3672,2376,6048,7.948155484017007,7.860185206315677,1,0
2394,2021-04,202104,0,2533,1907,4440,7.98608196068603,7.132498189616338,1,0
2394,2021-05,202105,0,2708,1896,4604,7.939587582252972,7.392647899886153,1,0
2394,2021-06,202106,0,2258,1916,4174,7.965442048162796,6.527960055025499,1,0
2394,2021-07,202107,0,2125,2494,4619,8.066765292082453,-6.6039456606571365,1,0
2394,2021-08,202108,0,3746,2566,6312,8.015340717750544,7.766417077565715,1,0
2394,2021-09,202109,0,3377,2257,5634,8.029841504539558,7.714231344147495,1,0
2394,2021-10,202110,0,2802,1913,4715,8.025230803416957,7.483244732400863,1,0
2394,2021-11,202111,0,2160,1909,4069,7.989875089107239,6.218604087859091,1,0
2394,2021-12,202112,0,1453,5346,6799,7.996988157900102,-8.960082544666118,1,0
2394,2022-01,202201,0,4429,2955,7384,8.18251419946568,7.988882368374684,1,0
2394,2022-02,202202,0,6754,3078,9832,7.967319310356334,8.90272768253626,1,0
2394,2022-03,202203,0,5541,3289,8830,7.925448006428966,8.412721219114564,1,0
2394,2022-04,202204,0,4234,2718,6952,7.923080000745244,8.016977855540379,1,0
2394,2022-05,202205,0,3784,2577,6361,7.9593742460009285,7.7890405732606665,1,0
2394,2022-06,202206,0,2932,2861,5793,7.96428253987057,4.9558766472470746,1,0
2394,2022-07,202207,0,3020,3083,6103,8.118804257822209,-4.836344889159275,1,0
2394,2022-08,202208,0,5469,3101,8570,8.037131737782023,8.46294822114759,1,0
2394,2022-09,202209,0,4072,2499,6571,8.004047936367941,8.053887184655702,1,0
2394,2022-10,202210,0,3115,2247,5362,8.00813223172228,7.459339227038602,1,0
2394,2022-11,202211,0,2125,2065,4190,8.045475762270994,4.78756117999381,1,0
2394,2022-12,202212,1,1094,6258,7352,8.049770175470375,-9.242613941901398,1,1
2394,2023-01,202301,1,4678,3502,8180,8.145573957257895,7.763021489788056,1,1
2394,2023-02,202302,1,7016,3228,10244,7.974192737377283,8.932740652288798,1,1
2394,2023-03,202303,1,5679,4060,9739,7.954538909125626,8.08271122961515,1,1
2394,2023-04,202304,1,4338,2966,7304,7.951178369199679,7.9171721216560575,1,1
2394,2023-05,202305,1,3621,3026,6647,7.97466813811938,7.081709292269646,1,1
2394,2023-06,202306,1,2939,3496,6435,7.981510546414737,-7.015713226290625,1,1
2394,2023-07,202307,1,2844,3614,6458,8.078064328391589,-7.339538117063674,1,1
2394,2023-08,202308,1,5255,4292,9547,7.96569950162161,7.563200861937816,1,1
2394,2023-09,202309,1,3826,3181,7007,7.974168281757254,7.162398098280601,1,1
2394,2023-10,202310,1,2956,2841,5797,8.008418829673078,5.438098211978882,1,1
2394,2023-11,202311,1,2126,2428,4554,8.029939856325113,-6.403576939031391,1,1
2394,2023-12,202312,1,1287,7181,8468,8.079988439798596,-9.37483735105406,1,1
2394,2024-01,202401,1,5232,4076,9308,8.217816941058318,7.745868416870914,1,1
2394,2024-02,202402,1,7017,4302,11319,7.995047817125834,8.599694446843644,1,1
2394,2024-03,202403,1,6410,4007,10417,7.919713313143259,8.477620459590886,1,1
2394,2024-04,202404,1,4814,4229,9043,7.992194231648872,7.064759758304552,1,1
2394,2024-05,202405,1,3585,3467,7052,7.967320148324992,5.463849759152821,1,1
2394,2024-06,202406,1,3040,3554,6594,7.974035598430681,-6.935371392280933,1,1
2394,2024-07,202407,1,3085,4273,7358,8.116698083866233,-7.773173857618608,1,1
2394,2024-08,202408,1,5084,3685,8769,8.016891551358302,7.936660282958834,1,1
2394,2024-09,202409,1,3960,3231,7191,8.010466626358069,7.284821382987377,1,1
2394,2024-10,202410,1,3023,2992,6015,7.991365837313041,4.1273944292716545,1,1
2394,2024-11,202411,1,2092,2513,4605,8.034610795394926,-6.735781424748198,1,1
2394,2024-12,202412,1,1137,7736,8873,8.075735431257563,-9.487820587684316,1,1
2394,2025-01,202501,1,5087,5721,10808,8.203269668899553,-7.1451967569552135,1,1
2394,2025-02,202502,1,8011,5070,13081,7.983217702164882,8.679652148017407,1,1
2394,2025-03,202503,1,5220,3837,9057,7.966729853849023,7.925157642930715,1,1
2394,2025-04,202504,1,4730,3337,8067,7.9669317727082625,7.9323622831758875,1,1
2394,2025-05,202505,1,3760,3177,6937,7.979682461539864,7.061335102443874,1,1
2394,2025-06,202506,1,3321,3729,7050,7.998856271412177,-6.7044158567869445,1,1
2394,2025-07,202507,1,3178,4581,7759,8.111481386276331,-7.939515387668507,1,1
2394,2025-08,202508,1,5417,3852,9269,8.02613847848368,8.048788385607288,1,1
2394,2025-09,202509,1,5050,3435,8485,7.931626863633326,8.080237512067315,1,1
2394,2025-10,202510,1,3502,3038,6540,8.028514060782467,6.8330328939762115,1,1
2394,2025-11,202511,1,2417,3587,6004,8.018061131789457,-7.757906390980085,1,1
2394,2025-12,202512,1,1134,7362,8496,8.125692898774389,-9.429957719959129,1,1
2394,2026-01,202601,1,5271,4421,9692,8.215212938574176,7.438383876064889,1,1
2394,2026-02,202602,1,7685,4265,11950,8.00813824249292,8.830543031990693,1,1
2394,2026-03,202603,1,6682,4339,11021,7.914571709435595,8.45233466460799,1,1
2394,2026-04,202604,1,4875,3900,8775,7.935541269131783,7.575584914542567,1,1
2394,2026-05,202605,1,4029,3387,7416,7.970011041967772,7.157736090804027,1,1
2511,2021-01,202101,0,32,11,43,8.661513683172146,3.7382360302615427,1,0
2511,2021-02,202102,0,19,10,29,8.187958096758127,2.8934439858858716,1,0
2511,2021-03,202103,0,18,19,37,8.591102147217427,-0.881373587019543,1,0
2511,2021-04,202104,0,12,13,25,8.540160878731538,-0.881373587019543,1,0
2511,2021-05,202105,0,12,19,31,8.574653970253609,-2.644120761058629,1,0
2511,2021-06,202106,0,16,14,30,8.871009822736124,1.4436354751788103,1,0
2511,2021-07,202107,0,21,21,42,8.500411702066152,0.0,1,0
2511,2021-08,202108,0,31,23,54,8.02955028531863,2.7764722807237177,1,0
2511,2021-09,202109,0,27,21,48,8.724987190320999,2.491779852644912,1,0
2511,2021-10,202110,0,18,26,44,8.462687893003508,-2.7764722807237177,1,0
2511,2021-11,202111,0,18,28,46,8.450800484542684,-2.99822295029797,1,0
2511,2021-12,202112,0,17,38,55,8.571112156591397,-3.7382360302615427,1,0
2511,2022-01,202201,0,33,12,45,8.081584222439487,3.7382360302615427,1,0
2511,2022-02,202202,0,24,32,56,8.519152308099907,-2.7764722807237177,1,0
2511,2022-03,202203,0,13,20,33,8.250600981613335,-2.644120761058629,1,0
2511,2022-04,202204,0,26,16,42,8.481632067958792,2.99822295029797,1,0
2511,2022-05,202205,0,18,20,38,8.532865212757713,-1.4436354751788103,1,0
2511,2022-06,202206,0,15,16,31,8.327381530003928,-0.881373587019543,1,0
2511,2022-07,202207,0,25,26,51,8.625984844056001,-0.881373587019543,1,0
2511,2022-08,202208,0,22,17,39,8.556885917188504,2.3124383412727525,1,0
2511,2022-09,202209,0,18,16,34,8.77978091610943,1.4436354751788103,1,0
2511,2022-10,202210,0,20,14,34,8.219064829989192,2.491779852644912,1,0
2511,2022-11,202211,0,17,18,35,8.647177755181641,-0.881373587019543,1,0
2511,2022-12,202212,1,10,16,26,8.76548291080442,-2.491779852644912,1,1
2511,2023-01,202301,1,11,18,29,8.468011744738577,-2.644120761058629,1,1
2511,2023-02,202302,1,31,20,51,8.579334590439522,3.093102195050827,1,1
2511,2023-03,202303,1,15,15,30,8.278548513179544,0.0,1,1
2511,2023-04,202304,1,25,14,39,8.33448987032142,3.093102195050827,1,1
2511,2023-05,202305,1,32,17,49,8.253343273296498,3.4023066454805946,1,1
2511,2023-06,202306,1,30,24,54,8.475501845273865,2.491779852644912,1,1
2511,2023-07,202307,1,32,24,56,8.590556039550425,2.7764722807237177,1,1
2511,2023-08,202308,1,24,14,38,8.442625485791124,2.99822295029797,1,1
2511,2023-09,202309,1,15,18,33,8.457315809779734,-1.8184464592320668,1,1
2511,2023-10,202310,1,20,21,41,8.490184754348904,-0.881373587019543,1,1
2511,2023-11,202311,1,7,15,22,8.341702775323132,-2.7764722807237177,1,1
2511,2023-12,202312,1,22,18,40,8.413767665799753,2.0947125472611012,1,1
2511,2024-01,202401,1,24,19,43,8.609348503296983,2.3124383412727525,1,1
2511,2024-02,202402,1,14,25,39,8.841195814040947,-3.093102195050827,1,1
2511,2024-03,202403,1,16,24,40,8.365451088554183,-2.7764722807237177,1,1
2511,2024-04,202404,1,14,22,36,8.47881594965372,-2.7764722807237177,1,1
2511,2024-05,202405,1,30,19,49,9.091554328853416,3.093102195050827,1,1
2511,2024-06,202406,1,19,13,32,8.395373368312775,2.491779852644912,1,1
2511,2024-07,202407,1,18,16,34,8.614856339709059,1.4436354751788103,1,1
2511,2024-08,202408,1,23,17,40,8.655928381658889,2.491779852644912,1,1
2511,2024-09,202409,1,31,21,52,8.554270778868663,2.99822295029797,1,1
2511,2024-10,202410,1,22,20,42,8.575518729603633,1.4436354751788103,1,1
2511,2024-11,202411,1,31,20,51,8.526094937154781,3.093102195050827,1,1
2511,2024-12,202412,1,6,20,26,7.689096470277999,-3.3334775868839928,1,1
