cbo_4d,vintage_2023_label,vintage_2023_mean_score,vintage_2023_pooled_sd,vintage_2023_destinations,model_consensus_label,model_consensus_mean_score,model_consensus_pooled_sd,model_consensus_destinations,all_2025_destinations
2030,Not affected,0.355,0.16770509831248423,2,Minimal Exposure,0.38,0.04,1,2
2031,No score,,,0,No score,,,0,0
2032,No score,,,0,No score,,,0,0
2033,No score,,,0,No score,,,0,0
2034,No score,,,0,No score,,,0,0
2035,The Big Uknown,0.41,0.17,1,Exposed: Gradient 2,0.47,0.06,1,1
2041,Not affected,0.29500000000000004,0.18728320800328044,2,Not Exposed,0.23,0.07,1,2
2110,No score,,,0,No score,,,0,0
2111,The Big Uknown,0.5,0.15,1,Exposed: Gradient 3,0.56,0.09,1,1
2112,The Big Uknown,0.5,0.15,1,Exposed: Gradient 3,0.56,0.09,1,1
2120,No score,,,0,No score,,,0,0
2121,No score,,,0,No score,,,0,0
2122,No score,,,0,No score,,,0,0
2123,Not affected,0.3742857142857143,0.1396277850835819,7,Exposed: Gradient 3,0.532,0.09249864863877742,5,7
2124,Not affected,0.3742857142857143,0.1396277850835819,7,Exposed: Gradient 3,0.532,0.09249864863877742,5,7
2131,Augmentation Potential,0.35,0.18,1,Exposed: Gradient 1,0.38,0.14,1,1
2132,Not affected,0.325,0.19241881404893857,2,Minimal Exposure,0.33,0.09,1,2
2133,Augmentation Potential,0.395,0.21136461387848252,2,Exposed: Gradient 1,0.38,0.14,1,2
2134,Not affected,0.32,0.13,1,Minimal Exposure,0.36,0.1,1,1
2140,No score,,,0,No score,,,0,0
2141,Augmentation Potential,0.41333333333333333,0.1755625877635159,3,Minimal Exposure,0.3833333333333333,0.07630348761506398,3,3
2142,Not affected,0.34,0.04,1,Not Exposed,0.3,0.06,1,1
2143,Not affected,0.32,0.09660917830792959,3,No score,,,0,3
2144,Not affected,0.31,0.06,1,No score,,,0,1
2145,Not affected,0.31,0.18,1,Minimal Exposure,0.35,0.12,1,1
2146,Not affected,0.27,0.06,1,Not Exposed,0.29,0.05,1,1
2147,Not affected,0.27,0.06,1,Not Exposed,0.29,0.05,1,1
2148,Augmentation Potential,0.38,0.17,1,Exposed: Gradient 2,0.44,0.12,1,1
2149,Not affected,0.2866666666666667,0.1370725679663473,3,Minimal Exposure,0.375,0.07017834423809101,2,3
2151,No score,,,0,No score,,,0,0
2152,Not affected,0.29,0.19,1,Not Exposed,0.23,0.05,1,1
2153,Not affected,0.24,0.17,1,Not Exposed,0.27,0.05,1,1
2211,Not affected,0.355,0.16770509831248423,2,Minimal Exposure,0.38,0.04,1,2
2212,No score,,,0,No score,,,0,0
2221,Not affected,0.3,0.13,1,No score,,,0,1
2222,No score,,,0,No score,,,0,0
2232,Not affected,0.21,0.13,1,Not Exposed,0.15,0.06,1,1
2233,Not affected,0.18,0.18,1,Not Exposed,0.14,0.05,1,1
2234,Augmentation Potential,0.33,0.22,1,Minimal Exposure,0.33,0.09,1,1
2235,Not affected,0.255,0.18790511790085263,6,Not Exposed,0.26333333333333336,0.1154219312878719,3,6
2236,Not affected,0.245,0.13901438774457844,2,Not Exposed,0.24000000000000002,0.07778174593052023,2,2
2237,Not affected,0.245,0.13901438774457844,2,Not Exposed,0.24000000000000002,0.07778174593052023,2,2
2238,Not affected,0.245,0.13901438774457844,2,Not Exposed,0.24000000000000002,0.07778174593052023,2,2
2239,Not affected,0.245,0.13901438774457844,2,Not Exposed,0.24000000000000002,0.07778174593052023,2,2
2241,Augmentation Potential,0.3333333333333333,0.20789954839350233,3,Not Exposed,0.24,0.09273618495495704,2,3
2251,Not affected,0.3,0.20037464909513877,2,Not Exposed,0.27,0.12,1,2
2252,Not affected,0.3,0.20037464909513877,2,Not Exposed,0.27,0.12,1,2
2253,Not affected,0.3,0.20037464909513877,2,Not Exposed,0.27,0.12,1,2
2261,No score,,,0,No score,,,0,0
2263,No score,,,0,No score,,,0,0
2311,No score,,,0,No score,,,0,0
2312,Not affected,0.17,0.09,1,Not Exposed,0.21,0.05,1,1
2313,Augmentation Potential,0.32,0.23,1,Not Exposed,0.26,0.09,1,1
2321,Augmentation Potential,0.36,0.1598436736314578,2,No score,,,0,2
2331,Augmentation Potential,0.36,0.1598436736314578,2,No score,,,0,2
2332,Augmentation Potential,0.36,0.1598436736314578,2,No score,,,0,2
2341,Not affected,0.355,0.15532224567009068,2,Minimal Exposure,0.37,0.12,1,2
2342,Not affected,0.355,0.15532224567009068,2,Minimal Exposure,0.37,0.12,1,2
2343,Not affected,0.355,0.15532224567009068,2,Minimal Exposure,0.37,0.12,1,2
2344,Not affected,0.355,0.15532224567009068,2,Minimal Exposure,0.37,0.12,1,2
2345,Not affected,0.355,0.15532224567009068,2,Minimal Exposure,0.37,0.12,1,2
2346,Not affected,0.355,0.15532224567009068,2,Minimal Exposure,0.37,0.12,1,2
2347,Not affected,0.355,0.15532224567009068,2,Minimal Exposure,0.37,0.12,1,2
2348,Not affected,0.355,0.15532224567009068,2,Minimal Exposure,0.37,0.12,1,2
2349,No score,,,0,No score,,,0,0
2392,Not affected,0.33,0.16,1,No score,,,0,1
2394,Augmentation Potential,0.35,0.19,1,No score,,,0,1
2410,Not affected,0.34,0.15,1,Minimal Exposure,0.36,0.09,1,1
2412,Not affected,0.31,0.18,1,Minimal Exposure,0.37,0.09,1,1
2413,Not affected,0.31,0.18,1,Minimal Exposure,0.37,0.09,1,1
2422,No score,,,0,No score,,,0,0
2423,Not affected,0.31,0.18,1,Minimal Exposure,0.37,0.09,1,1
2424,No score,,,0,No score,,,0,0
2429,No score,,,0,No score,,,0,0
2511,The Big Uknown,0.45,0.15,1,Exposed: Gradient 2,0.48,0.12,1,1
2512,The Big Uknown,0.54,0.13,1,Exposed: Gradient 3,0.55,0.08,1,1
2513,The Big Uknown,0.45,0.15,1,Exposed: Gradient 2,0.48,0.12,1,1
2514,No score,,,0,No score,,,0,0
2515,The Big Uknown,0.41,0.15,1,Exposed: Gradient 1,0.39,0.14,1,1
2516,Not affected,0.29,0.12,1,Not Exposed,0.28,0.1,1,1
2521,The Big Uknown,0.47571428571428565,0.18313594816475567,7,Exposed: Gradient 2,0.488,0.11530828244319659,5,7
2522,The Big Uknown,0.485,0.1935846068260594,2,Exposed: Gradient 3,0.54,0.1007472083980494,2,2
2523,The Big Uknown,0.47000000000000003,0.23255106965997813,5,Exposed: Gradient 2,0.4525,0.1403344220068619,4,5
2524,The Big Uknown,0.41,0.17136705245369271,3,Minimal Exposure,0.365,0.10452272480183436,2,3
2525,Not affected,0.2866666666666667,0.1370725679663473,3,Minimal Exposure,0.375,0.07017834423809101,2,3
2526,No score,,,0,No score,,,0,0
2527,No score,,,0,No score,,,0,0
2531,The Big Uknown,0.506,0.18908728143373368,10,Exposed: Gradient 2,0.4883333333333333,0.11021443744910292,6,10
2532,No score,,,0,No score,,,0,0
2533,No score,,,0,No score,,,0,0
2534,No score,,,0,No score,,,0,0
2541,No score,,,0,No score,,,0,0
2542,No score,,,0,No score,,,0,0
2543,No score,,,0,No score,,,0,0
2544,No score,,,0,No score,,,0,0
2545,No score,,,0,No score,,,0,0
2611,The Big Uknown,0.53,0.17378147196982768,4,Exposed: Gradient 3,0.5466666666666667,0.093571125650788,3,4
2612,Automation Potential,0.65,0.09,1,Exposed: Gradient 3,0.55,0.04,1,1
2613,The Big Uknown,0.44,0.16,1,No score,,,0,1
2614,The Big Uknown,0.59,0.22,1,No score,,,0,1
2615,The Big Uknown,0.53,0.17378147196982768,4,Exposed: Gradient 3,0.5466666666666667,0.093571125650788,3,4
2616,The Big Uknown,0.53,0.17378147196982768,4,Exposed: Gradient 3,0.5466666666666667,0.093571125650788,3,4
2617,The Big Uknown,0.534,0.16776173580408615,5,Exposed: Gradient 3,0.5275000000000001,0.10615436872781073,4,5
2618,Augmentation Potential,0.355,0.21650635094610965,2,Minimal Exposure,0.35,0.11,1,2
2619,No score,,,0,No score,,,0,0
2621,Not affected,0.28500000000000003,0.2874456470360962,2,Minimal Exposure,0.33999999999999997,0.12083045973594572,2,2
2622,Not affected,0.28500000000000003,0.2874456470360962,2,Minimal Exposure,0.33999999999999997,0.12083045973594572,2,2
2623,No score,,,0,No score,,,0,0
2624,Not affected,0.32999999999999996,0.16309506430300091,2,Not Exposed,0.21,0.04,1,2
2625,Not affected,0.28500000000000003,0.2874456470360962,2,Minimal Exposure,0.33999999999999997,0.12083045973594572,2,2
2626,Augmentation Potential,0.38,0.3,1,No score,,,0,1
2627,Augmentation Potential,0.38,0.3,1,No score,,,0,1
2628,Not affected,0.15,0.08,1,Not Exposed,0.19,0.1,1,1
2629,No score,,,0,No score,,,0,0
2631,Not affected,0.22,0.09,1,Not Exposed,0.17,0.12,1,1
2711,No score,,,0,No score,,,0,0
3001,No score,,,0,No score,,,0,0
3003,Not affected,0.32999999999999996,0.13435028842544405,2,No score,,,0,2
3010,No score,,,0,No score,,,0,0
3011,Augmentation Potential,0.37,0.2039607805437114,2,Not Exposed,0.305,0.0736545993132812,2,2
3012,No score,,,0,No score,,,0,0
3020,No score,,,0,No score,,,0,0
3030,No score,,,0,No score,,,0,0
3110,No score,,,0,No score,,,0,0
3111,Augmentation Potential,0.37,0.2039607805437114,2,Not Exposed,0.305,0.0736545993132812,2,2
3112,Augmentation Potential,0.37,0.2039607805437114,2,Not Exposed,0.305,0.0736545993132812,2,2
3113,Augmentation Potential,0.37,0.2039607805437114,2,Not Exposed,0.305,0.0736545993132812,2,2
3114,No score,,,0,No score,,,0,0
3115,Augmentation Potential,0.3233333333333333,0.19206480387850577,3,Not Exposed,0.29000000000000004,0.08225975119502045,3,3
3116,Augmentation Potential,0.37,0.2039607805437114,2,Not Exposed,0.305,0.0736545993132812,2,2
3117,Not affected,0.22999999999999998,0.17767010628315238,3,Not Exposed,0.24,0.14106735979665885,3,3
3120,No score,,,0,No score,,,0,0
3121,Not affected,0.31,0.12,1,Not Exposed,0.28,0.07,1,1
3122,Not affected,0.31,0.12,1,Not Exposed,0.28,0.07,1,1
3123,Not affected,0.345,0.15124483462254174,2,Minimal Exposure,0.36,0.12668859459319926,2,2
3131,Not affected,0.27,0.14,1,Not Exposed,0.27,0.05,1,1
3132,Not affected,0.32999999999999996,0.13435028842544405,2,No score,,,0,2
3133,Not affected,0.32999999999999996,0.13435028842544405,2,No score,,,0,2
3134,Not affected,0.32999999999999996,0.13435028842544405,2,No score,,,0,2
3135,No score,,,0,No score,,,0,0
3141,Not affected,0.34,0.14,1,Not Exposed,0.26,0.08,1,1
3142,No score,,,0,No score,,,0,0
3143,Not affected,0.34,0.14,1,Not Exposed,0.26,0.08,1,1
3144,No score,,,0,No score,,,0,0
3146,No score,,,0,No score,,,0,0
3147,Not affected,0.29,0.15,1,Not Exposed,0.28,0.06,1,1
3148,No score,,,0,No score,,,0,0
3161,Not affected,0.23,0.12,1,Not Exposed,0.26,0.09,1,1
3163,Not affected,0.29,0.15,1,Not Exposed,0.28,0.06,1,1
3171,The Big Uknown,0.4366666666666667,0.1991370270832513,3,Exposed: Gradient 2,0.4766666666666666,0.14372040758206733,3,3
3172,The Big Uknown,0.54,0.19,1,No score,,,0,1
3180,The Big Uknown,0.44,0.16,1,Minimal Exposure,0.35,0.11,1,1
3181,The Big Uknown,0.44,0.16,1,Minimal Exposure,0.35,0.11,1,1
3182,The Big Uknown,0.44,0.16,1,Minimal Exposure,0.35,0.11,1,1
3183,The Big Uknown,0.44,0.16,1,Minimal Exposure,0.35,0.11,1,1
3184,The Big Uknown,0.44,0.16,1,Minimal Exposure,0.35,0.11,1,1
3185,No score,,,0,No score,,,0,0
3186,No score,,,0,No score,,,0,0
3187,No score,,,0,No score,,,0,0
