cbo_4d,mte_match_status,ciuo88_codes,isco08_codes,scored_isco08_codes,n_isco08_targets,n_scored_isco08_targets,isco08_mean_score,isco08_pooled_sd,cbo_ilo_gradient,gradient_v_a,gradient_v_b,gradient_v_c,gradient_v_d,employment_weight_fallback,matched_pre_admissions,variant_b_mean,variant_b_pooled_sd,variant_c_task_sd,between_destination_sd
7642,matched_official_mte,8266,3122; 8156,3122; 8156,2,2,0.25499999999999995,0.13294735800308327,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,29466.0,0.255,0.13294735800308327,0.09300537618869138,0.09499999999999996
7643,matched_official_mte,7442,7536,7536,1,1,0.16999999999999998,0.060000000000000005,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,18301.0,0.16999999999999998,0.060000000000000005,0.060000000000000005,0.0
7650,matched_official_mte,7433,7531,7531,1,1,0.15,0.05,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,34.0,0.15,0.05,0.05,0.0
7651,matched_official_mte,7442,7536,7536,1,1,0.16999999999999998,0.060000000000000005,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,2398.0,0.16999999999999998,0.060000000000000005,0.060000000000000005,0.0
7652,matched_official_mte,7437; 7436,7534; 7533,7534; 7533,2,2,0.15000000000000002,0.07176350047203663,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,15203.0,0.17658620009208711,0.0886288307671269,0.0651920240520265,0.030000000000000013
7653,matched_official_mte,8269,3122; 8159,3122; 8159,2,2,0.25499999999999995,0.13238202294873724,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,3354.0,0.25499999999999995,0.13238202294873724,0.09219544457292887,0.09499999999999996
7654,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7661,matched_official_mte,7343; 7341,7321; 7322,7321; 7322,2,2,0.315,0.18567444627627142,Exposed: Gradient 1,Exposed: Gradient 1,Exposed: Gradient 1,Minimal Exposure,Exposed: Gradient 1,False,10104.0,0.3421283650039589,0.20325876620761155,0.17392527130926086,0.065
7662,matched_official_mte,8251,3122; 7322,3122; 7322,2,2,0.29999999999999993,0.13038404810405296,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Not Exposed,False,22494.0,0.29999999999999993,0.13038404810405296,0.12041594578792296,0.04999999999999996
7663,matched_official_mte,7345,7323,7323,1,1,0.22,0.09,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,30539.0,0.22,0.09,0.09,0.0
7664,matched_official_mte,7344,8132,8132,1,1,0.27,0.06,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,96.0,0.27,0.060000000000000005,0.06,0.0
7681,matched_official_mte,7432,7318; 8152,7318; 8152,2,2,0.14500000000000002,0.03354101966249685,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1605.0,0.14500000000000002,0.03354101966249685,0.030000000000000002,0.015
7682,matched_official_mte,7436,7533,7533,1,1,0.12,0.02,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1416.0,0.12,0.02,0.02,0.0
7683,matched_official_mte,7442,7536,7536,1,1,0.16999999999999998,0.060000000000000005,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,13438.0,0.16999999999999996,0.060000000000000005,0.060000000000000005,0.0
7686,matched_official_mte,7341; 7346,7321; 7322,7321; 7322,2,2,0.315,0.18567444627627142,Exposed: Gradient 1,Exposed: Gradient 1,Not Exposed,Minimal Exposure,Not Exposed,False,1246.0,0.25719903691813806,0.12245097501931793,0.17392527130926086,0.065
7687,matched_official_mte,7345,7323,7323,1,1,0.22,0.09,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,493.0,0.22,0.09,0.09,0.0
7701,matched_official_mte,7422,7522,7522,1,1,0.16,0.06,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,3125.0,0.16,0.06,0.06,0.0
7711,matched_official_mte,7422,7522,7522,1,1,0.16,0.06,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,78531.0,0.16,0.06,0.06,0.0
7721,matched_official_mte,7421,7521,7521,1,1,0.22,0.15,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,19678.0,0.22,0.15,0.15,0.0
7731,matched_official_mte,8141,8172,8172,1,1,0.14,0.05,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,27044.0,0.14,0.05,0.05,0.0
7732,matched_official_mte,8141,8172,8172,1,1,0.14,0.05,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1764.0,0.14,0.05,0.05,0.0
7733,matched_official_mte,7423,7523,7523,1,1,0.22,0.16,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,19421.0,0.22,0.16,0.16,0.0
7734,matched_official_mte,8240,3122; 7521; 7523,3122; 7521; 7523,3,3,0.2633333333333333,0.1594434765746853,Minimal Exposure,Minimal Exposure,Minimal Exposure,Minimal Exposure,Not Exposed,False,3755.0,0.2633333333333333,0.15944347657468533,0.14719601443879746,0.061282587702834075
7735,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7741,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7751,matched_official_mte,7422,7522,7522,1,1,0.16,0.06,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,4463.0,0.16,0.060000000000000005,0.06,0.0
7764,matched_official_mte,7424,7317,7317,1,1,0.14,0.01,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1543.0,0.14,0.01,0.01,0.0
7771,matched_official_mte,7124,7115,7115,1,1,0.13,0.02,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,381.0,0.13,0.02,0.02,0.0
7772,matched_official_mte,7124,7115,7115,1,1,0.13,0.02,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,461.0,0.13,0.02,0.02,0.0
7801,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7811,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7813,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7817,matched_official_mte,7216,7541,7541,1,1,0.16,0.09000000000000001,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1865.0,0.16000000000000003,0.09000000000000001,0.09000000000000001,0.0
