cbo_4d,mte_match_status,ciuo88_codes,isco08_codes,scored_isco08_codes,n_isco08_targets,n_scored_isco08_targets,isco08_mean_score,isco08_pooled_sd,cbo_ilo_gradient
5102,no_score,,,,0,0,,,No score
5103,no_score,,,,0,0,,,No score
5111,matched_official_mte,5111,4221; 5111,4221; 5111,2,2,0.39,0.1906567596493762,Exposed: Gradient 1
5112,matched_official_mte,5112,5112,5112,1,1,0.25,0.17,Minimal Exposure
5114,no_score,,,,0,0,,,No score
5115,no_score,,,,0,0,,,No score
5121,matched_official_mte,9131,9111,9111,1,1,0.14,0.08,Not Exposed
5131,matched_official_mte,5121,5151; 5152,5151; 5152,2,2,0.21000000000000002,0.1004987562112089,Not Exposed
5132,matched_official_mte,5122,3434; 5120; 9411,3434; 5120; 9411,3,3,0.20333333333333334,0.06574360974438673,Not Exposed
5133,matched_official_mte,5123,5131; 5132,5131; 5132,2,2,0.27,0.14177446878757824,Minimal Exposure
5134,matched_official_mte,5123,5131; 5132,5131; 5132,2,2,0.27,0.14177446878757824,Minimal Exposure
5135,no_score,,,,0,0,,,No score
5136,no_score,,,,0,0,,,No score
5141,matched_official_mte,9141,5153,5153,1,1,0.27,0.16,Minimal Exposure
5142,matched_official_mte,9161; 9162; 9132,9611; 9612; 9613; 9622; 9624; 9112; 9412,9611; 9612; 9613; 9622; 9624; 9112; 9412,7,7,0.1157142857142857,0.05653245410688394,Not Exposed
5143,matched_official_mte,9132; 7143,9112; 9412; 7133; 7544,9112; 9412; 7133; 7544,4,4,0.11750000000000001,0.029895651857753492,Not Exposed
5151,matched_official_mte,5132,3258; 5321; 5329,3258; 5321; 5329,3,3,0.17,0.11135528725660045,Not Exposed
5152,matched_official_mte,5132,3258; 5321; 5329,3258; 5321; 5329,3,3,0.17,0.11135528725660045,Not Exposed
5153,no_score,,,,0,0,,,No score
5161,matched_official_mte,5141,5141; 5142,5141; 5142,2,2,0.175,0.18513508581573618,Not Exposed
5162,matched_official_mte,5131,5311; 5312,5311; 5312,2,2,0.215,0.12031209415515966,Not Exposed
5163,matched_official_mte,8264,3122; 8154; 8157,3122; 8154; 8157,3,3,0.24,0.14106735979665883,Not Exposed
5164,matched_official_mte,9133,9121,9121,1,1,0.14,0.03,Not Exposed
5165,matched_official_mte,5143,5163,5163,1,1,0.17,0.17,Not Exposed
5166,matched_official_mte,9312,9312,9312,1,1,0.09,0.02,Not Exposed
5167,matched_official_mte,5151,5161,5161,1,1,0.3,0.16,Minimal Exposure
5168,no_score,,,,0,0,,,No score
5169,no_score,,,,0,0,,,No score
5171,matched_official_mte,5161; 5169,5411; 5414; 5419,5411; 5414; 5419,3,3,0.19333333333333336,0.08339997335464537,Not Exposed
5172,matched_official_mte,5162; 5163,5412; 5413,5412; 5413,2,2,0.14,0.035355339059327376,Not Exposed
5173,matched_official_mte,5169,5414; 5419,5414; 5419,2,2,0.2,0.07280109889280519,Not Exposed
5174,matched_official_mte,9152,5414; 9621; 9629,5414; 9621; 9629,3,3,0.2866666666666666,0.16152055252780956,Minimal Exposure
5191,matched_official_mte,8321,8321,8321,1,1,0.25,0.17,Minimal Exposure
5192,no_score,,,,0,0,,,No score
5193,no_score,,,,0,0,,,No score
5198,no_score,,,,0,0,,,No score
5199,matched_official_mte,9120; 9152; 9142; 9153; 4222,9510; 5414; 9621; 9629; 9122; 9123; 9129; 9623; 3341; 4222; 4224; 4225; 4226; 4229,9510; 5414; 9621; 9629; 9122; 9123; 9129; 9623; 3341; 4222; 4224; 4225; 4226; 4229,14,14,0.34285714285714286,0.21069370359527564,Exposed: Gradient 1
5201,no_score,,,,0,0,,,No score
5211,matched_official_mte,5220,5222; 5223; 5242; 5245; 5246; 5249,5222; 5223; 5242; 5245; 5246,6,5,0.328,0.1563841424185969,Minimal Exposure
5231,matched_official_mte,7233,7127; 7233,7127; 7233,2,2,0.19,0.085146931829632,Not Exposed
5241,matched_official_mte,9113,5243; 5244,5243; 5244,2,2,0.535,0.163783393541592,Exposed: Gradient 3
5242,matched_official_mte,9111; 9112,5212; 9520,5212; 9520,2,2,0.21000000000000002,0.10559356040971439,Not Exposed
5243,matched_official_mte,9112; 9111,9520; 5212,9520; 5212,2,2,0.21000000000000002,0.10559356040971439,Not Exposed
6110,matched_official_mte,6130,6130,6130,1,1,0.19,0.11000000000000001,Not Exposed
6120,matched_official_mte,6114,6114,6114,1,1,0.17,0.11999999999999998,Not Exposed
6121,no_score,,,,0,0,,,No score
6122,matched_official_mte,6111,6111,6111,1,1,0.18,0.11999999999999998,Not Exposed
6123,no_score,,,,0,0,,,No score
6124,no_score,,,,0,0,,,No score
6125,matched_official_mte,6112,6112,6112,1,1,0.17,0.11,Not Exposed
6126,no_score,,,,0,0,,,No score
6127,no_score,,,,0,0,,,No score
6128,no_score,,,,0,0,,,No score
6130,matched_official_mte,6121,6121,6121,1,1,0.16999999999999998,0.1,Not Exposed
6131,matched_official_mte,6121,6121,6121,1,1,0.16999999999999998,0.1,Not Exposed
6132,no_score,,,,0,0,,,No score
6133,matched_official_mte,6122,6122,6122,1,1,0.19000000000000003,0.10000000000000002,Not Exposed
6134,no_score,,,,0,0,,,No score
6201,matched_official_mte,6130,6130,6130,1,1,0.19,0.11000000000000001,Not Exposed
6210,matched_official_mte,6130,6130,6130,1,1,0.19,0.11000000000000001,Not Exposed
6220,matched_official_mte,6113; 6114,6113; 9214; 6114,6113; 9214; 6114,3,3,0.1566666666666667,0.09826268648655782,Not Exposed
6221,matched_official_mte,6111,6111,6111,1,1,0.18,0.11999999999999998,Not Exposed
6222,matched_official_mte,6111,6111,6111,1,1,0.18,0.11999999999999998,Not Exposed
6223,no_score,,,,0,0,,,No score
6224,no_score,,,,0,0,,,No score
6225,matched_official_mte,6114,6114,6114,1,1,0.17,0.11999999999999998,Not Exposed
6226,matched_official_mte,6112,6112,6112,1,1,0.17,0.11,Not Exposed
6227,matched_official_mte,6112,6112,6112,1,1,0.17,0.11,Not Exposed
6228,matched_official_mte,6112,6112,6112,1,1,0.17,0.11,Not Exposed
6230,matched_official_mte,6129; 6124,5164; 6129; 6121; 6122; 6123,5164; 6129; 6121; 6122; 6123,5,5,0.184,0.10864621484432856,Not Exposed
6231,matched_official_mte,6129; 6121,5164; 6129; 6121,5164; 6129; 6121,3,3,0.17,0.10801234497346433,Not Exposed
6232,matched_official_mte,6121,6121,6121,1,1,0.16999999999999998,0.1,Not Exposed
6233,matched_official_mte,6129; 6122,5164; 6129; 6122,5164; 6129; 6122,3,3,0.17666666666666667,0.10842303978193729,Not Exposed
6234,matched_official_mte,6123,6123,6123,1,1,0.22,0.11,Not Exposed
6301,no_score,,,,0,0,,,No score
6310,matched_official_mte,6153,6223,6223,1,1,0.18,0.07,Not Exposed
6311,matched_official_mte,6152,6222; 7541,6222; 7541,2,2,0.165,0.09526279441628827,Not Exposed
6312,matched_official_mte,6153,6223,6223,1,1,0.18,0.07,Not Exposed
6313,matched_official_mte,6151,6221,6221,1,1,0.22000000000000003,0.15,Not Exposed
6314,matched_official_mte,6153,6223,6223,1,1,0.18,0.07,Not Exposed
6320,matched_official_mte,6141,6210,6210,1,1,0.12,0.05,Not Exposed
6321,matched_official_mte,6141,6210,6210,1,1,0.12,0.05,Not Exposed
6322,matched_official_mte,6141,6210,6210,1,1,0.12,0.05,Not Exposed
6323,matched_official_mte,6141,6210,6210,1,1,0.12,0.05,Not Exposed
6324,matched_official_mte,6141,6210,6210,1,1,0.12,0.05,Not Exposed
6325,matched_official_mte,6141,6210,6210,1,1,0.12,0.05,Not Exposed
6326,matched_official_mte,6142,6210,6210,1,1,0.12,0.05,Not Exposed
6410,matched_official_mte,8331,8341,8341,1,1,0.12,0.03,Not Exposed
6420,matched_official_mte,8331,8341,8341,1,1,0.12,0.03,Not Exposed
6430,no_score,,,,0,0,,,No score
7101,matched_official_mte,7111,3121; 8111,3121; 8111,2,2,0.22999999999999998,0.11335784048754632,Not Exposed
