case_id,variant_id,dimension,group_id,outcome,main_terminal_change_pct,main_support_status,main_baseline_value,main_baseline_support,terminal_months,alternative_normalization_change_pct,alternative_support_status,same_month_change_pct,same_month_support_status,matched_months,raw_wage_mean_change_pct,raw_wage_support_status,cell_mean_winsorized_change_pct,cell_mean_winsorized_support_status,primary_reference_change_pct,composition_delta_pp,normalization_delta_pp,same_month_delta_pp,raw_wage_delta_pp,cell_mean_winsorization_delta_pp
customer_service,primary,sex,women,admissions,-2.746993634,adequate,4241,4241,6,-18.64249645,adequate,-21.58797994,adequate,6,-2.746993634,adequate,-2.746993634,adequate,-2.746993634,0,-15.89550282,-18.84098631,,
customer_service,primary,sex,women,real_admission_wage,5.732359017,adequate,1555.381995,4231,6,8.906528508,adequate,10.06971002,adequate,6,-2.157583929,adequate,-2.157583929,adequate,5.732359017,0,3.174169492,4.337350998,-7.889942945,-7.889942945
health_care_aides,health_restricted,age,age_22_25,admissions,22.14583333,adequate,800,800,6,29.3917726,adequate,41.52199359,adequate,6,22.14583333,adequate,22.14583333,adequate,13.90946502,8.236368313,7.245939266,19.37616025,,
health_care_aides,health_restricted,age,age_22_25,real_admission_wage,-9.937033562,adequate,1771.634038,798,6,-40.80348918,adequate,-40.5240249,adequate,6,-16.61274002,adequate,-16.61274002,adequate,-5.790238574,-4.146794988,-30.86645561,-30.58699133,-6.675706454,-6.675706454
health_care_aides,health_restricted,age,age_26_30,admissions,56.84340321,adequate,811,811,6,57.69898339,adequate,71.88054049,adequate,6,56.84340321,adequate,56.84340321,adequate,50.79977149,6.043631712,0.8555801811,15.03713728,,
health_care_aides,health_restricted,age,age_26_30,real_admission_wage,1.18501425,adequate,1575.055869,809,6,-39.67370446,adequate,-33.46041972,adequate,6,8.317841428,adequate,8.317841428,adequate,1.636599643,-0.4515853927,-40.85871871,-34.64543397,7.132827178,7.132827178
health_care_aides,health_restricted,age,age_31_34,admissions,44.96805112,adequate,626,626,6,50,adequate,64.39104077,adequate,6,44.96805112,adequate,44.96805112,adequate,33.27862874,11.68942238,5.031948882,19.42298965,,
health_care_aides,health_restricted,age,age_31_34,real_admission_wage,-39.85998911,adequate,2655.066247,625,6,-38.37962538,adequate,-33.79988776,adequate,6,-37.86924266,adequate,-37.86924266,adequate,-29.50779704,-10.35219207,1.480363736,6.060101352,1.990746454,1.990746454
health_care_aides,health_restricted,age,age_35_40,admissions,51.00446429,adequate,896,896,6,49.68469963,adequate,60.69949073,adequate,6,51.00446429,adequate,51.00446429,adequate,38.24200913,12.76245515,-1.319764651,9.695026449,,
health_care_aides,health_restricted,age,age_35_40,real_admission_wage,-39.7626819,adequate,2665.541421,895,6,-38.02029499,adequate,-30.70899222,adequate,6,-43.23129692,adequate,-43.23129692,adequate,-29.31501003,-10.44767187,1.742386913,9.053689685,-3.468615023,-3.468615023
health_care_aides,health_restricted,age,age_41_49,admissions,70.82571603,adequate,1094,1094,6,79.19583213,adequate,97.83462083,adequate,6,70.82571603,adequate,70.82571603,adequate,61.56531532,9.260400711,8.370116108,27.0089048,,
