outcome,estimator,coefficient,standard_error,p_value,n_obs,n_clusters,dropped_cbo,status
n_movimentacoes,ppml,-0.04852453866304947,0.03539042201997964,0.1712443195829969,21984,340,3003,estimated
ln_salario_real_adm,ols,-0.05105402477100425,0.010431248727703003,1.5282403438288128e-06,21947,340,3003,estimated
asinh_saldo,ols,-0.5672242736878352,0.3824230157817739,0.13894031654300143,21984,340,3003,estimated
admissoes,ppml,-0.051968646881933006,0.038619384917571206,0.17931078751704832,21984,340,3132,estimated
desligamentos,ppml,-0.03997881697203313,0.03485044588268617,0.25212708587305954,21984,340,3132,estimated
n_movimentacoes,ppml,-0.04618675794369717,0.03542837431732426,0.19323217945371018,21984,340,3132,estimated
ln_salario_real_adm,ols,-0.05108427102894137,0.010430240164825156,1.503953449999429e-06,21947,340,3132,estimated
asinh_saldo,ols,-0.5449810218503581,0.3827097815886057,0.15536453080985124,21984,340,3132,estimated
admissoes,ppml,-0.053688903971718695,0.038666045771534284,0.16588785145727192,21984,340,3133,estimated
desligamentos,ppml,-0.042019954190621406,0.034824523945369994,0.22842000165398124,21984,340,3133,estimated
n_movimentacoes,ppml,-0.048057327392997076,0.035449844497002315,0.17611526591995275,21984,340,3133,estimated
ln_salario_real_adm,ols,-0.050445493363621814,0.010431778104308408,2.015630012675018e-06,21947,340,3133,estimated
asinh_saldo,ols,-0.5373609325258064,0.3825048396701748,0.16098229590178503,21984,340,3133,estimated
admissoes,ppml,-0.053662051505494725,0.03858367512883038,0.16519929274560585,21984,340,3134,estimated
desligamentos,ppml,-0.04184014588603193,0.03473280661392301,0.2291868814415272,21984,340,3134,estimated
n_movimentacoes,ppml,-0.04795477822957633,0.03536240267579719,0.17597150172124643,21984,340,3134,estimated
ln_salario_real_adm,ols,-0.05174669543417734,0.010386448790538906,1.0042782105923465e-06,21947,340,3134,estimated
asinh_saldo,ols,-0.5708296011529174,0.38225219946253114,0.13628031080923275,21984,340,3134,estimated
admissoes,ppml,-0.05015170144192053,0.038342327397663425,0.19176010344711925,21984,340,3171,estimated
desligamentos,ppml,-0.03929183837876835,0.034739897664829766,0.25884230716179335,21984,340,3171,estimated
n_movimentacoes,ppml,-0.0448885036198305,0.03523973896110191,0.2036056908535968,21984,340,3171,estimated
ln_salario_real_adm,ols,-0.0494742939691492,0.010357405123134057,2.6570821460847327e-06,21947,340,3171,estimated
asinh_saldo,ols,-0.5372103831753298,0.38249910917595176,0.16109304375248468,21984,340,3171,estimated
admissoes,ppml,-0.05296755166248546,0.038728865707986455,0.17232749286331672,21984,340,3172,estimated
desligamentos,ppml,-0.04123809661828399,0.03489530579414938,0.2381267566900407,21984,340,3172,estimated
n_movimentacoes,ppml,-0.04728151308211633,0.03551089735002461,0.1839307118579625,21984,340,3172,estimated
ln_salario_real_adm,ols,-0.050745408316142486,0.010436010257228047,1.7766576945188461e-06,21947,340,3172,estimated
asinh_saldo,ols,-0.5705820220708274,0.3822650744361787,0.13646294849208362,21984,340,3172,estimated
admissoes,ppml,-0.05454623509556546,0.03869102441160522,0.1595183429539575,21984,340,3242,estimated
desligamentos,ppml,-0.042475545090272,0.034790620009221444,0.22297587158126597,21984,340,3242,estimated
n_movimentacoes,ppml,-0.048716465413427106,0.03544282718911974,0.17019180948344226,21984,340,3242,estimated
ln_salario_real_adm,ols,-0.04999758812298549,0.01040902038064754,2.3470355106081087e-06,21947,340,3242,estimated
asinh_saldo,ols,-0.5999505621394247,0.37959241980901687,0.11492209766025652,21984,340,3242,estimated
admissoes,ppml,-0.05377111699575987,0.038560846513041654,0.16409534073462373,21984,340,3281,estimated
desligamentos,ppml,-0.04201276821936838,0.03470218279842712,0.22686665532396644,21984,340,3281,estimated
n_movimentacoes,ppml,-0.04809184941318722,0.035337347518068135,0.17443810677219362,21984,340,3281,estimated
ln_salario_real_adm,ols,-0.049504910463308016,0.010357237098790053,2.6198040994351857e-06,21948,340,3281,estimated
asinh_saldo,ols,-0.5829590485003766,0.3814221607323763,0.12735004250592974,21984,340,3281,estimated
admissoes,ppml,-0.05366271380708598,0.03856129666697503,0.16494961181452816,21984,340,3422,estimated
desligamentos,ppml,-0.04191225200378344,0.03470863259726992,0.22806395434667248,21984,340,3422,estimated
n_movimentacoes,ppml,-0.0479871909543966,0.03534046140012922,0.17541307790913585,21984,340,3422,estimated
ln_salario_real_adm,ols,-0.05174762315670277,0.010386361276955604,1.0036434014981666e-06,21947,340,3422,estimated
asinh_saldo,ols,-0.5538534328843495,0.3827533820287247,0.1488141694201961,21984,340,3422,estimated
admissoes,ppml,-0.05397578702628441,0.03863581450954648,0.1633152593031677,21984,340,3423,estimated
desligamentos,ppml,-0.04263593611457491,0.03479238503474215,0.22126065469973333,21984,340,3423,estimated
n_movimentacoes,ppml,-0.04850998915187392,0.03542508357596588,0.17179063049933307,21984,340,3423,estimated
ln_salario_real_adm,ols,-0.05093871670506338,0.010434096992165336,1.620719961570316e-06,21947,340,3423,estimated
asinh_saldo,ols,-0.5327242248115407,0.3823042952717578,0.16439483570978553,21984,340,3423,estimated
admissoes,ppml,-0.053665712567480296,0.03856859266127928,0.16500577496088287,21984,340,3511,estimated
desligamentos,ppml,-0.04185011755850408,0.034718549134784574,0.22888543790828697,21984,340,3511,estimated
n_movimentacoes,ppml,-0.04796260578693233,0.03534813445908683,0.17572727407284638,21984,340,3511,estimated
ln_salario_real_adm,ols,-0.051468709580866565,0.010410130933531025,1.2054918483439536e-06,21947,340,3511,estimated
asinh_saldo,ols,-0.5715904807995201,0.3822117352742873,0.1357192098376414,21984,340,3511,estimated
admissoes,ppml,-0.05396623556696358,0.038630355480863104,0.1633302316352756,21984,340,3513,estimated
desligamentos,ppml,-0.04225143603713765,0.034760916677201416,0.22502627417453414,21984,340,3513,estimated
n_movimentacoes,ppml,-0.048304633868498176,0.03540137871566037,0.17332018480834677,21984,340,3513,estimated
ln_salario_real_adm,ols,-0.049051706283377426,0.010295742630680702,2.815326414218333e-06,21947,340,3513,estimated
asinh_saldo,ols,-0.5522036513992599,0.382760997984162,0.15003245629922746,21984,340,3513,estimated
admissoes,ppml,-0.054840585257925734,0.03873871660630496,0.15779513877600326,21984,340,3514,estimated
desligamentos,ppml,-0.043366640711652193,0.0348217749112946,0.2138490665106869,21984,340,3514,estimated
n_movimentacoes,ppml,-0.049292867922817694,0.03549021479421824,0.16577055976224164,21984,340,3514,estimated
ln_salario_real_adm,ols,-0.051379326863945904,0.010416047751411972,1.2729705265446256e-06,21947,340,3514,estimated
asinh_saldo,ols,-0.5372962948077757,0.3825022978916241,0.16102974865347197,21984,340,3514,estimated
admissoes,ppml,-0.05349578605450481,0.038611443457338655,0.16681342526310017,21984,340,3515,estimated
desligamentos,ppml,-0.041547414788538926,0.03476818930907587,0.23292878600457456,21984,340,3515,estimated
n_movimentacoes,ppml,-0.04773007090000052,0.035391294776480224,0.17835328781176907,21984,340,3515,estimated
ln_salario_real_adm,ols,-0.05192783922949894,0.010366937877091888,8.822251629236888e-07,21947,340,3515,estimated
asinh_saldo,ols,-0.5615273579543594,0.382622005252069,0.1431462340969576,21984,340,3515,estimated
admissoes,ppml,-0.053400305789273364,0.03860838199334139,0.16753610036475308,21984,340,3517,estimated
desligamentos,ppml,-0.041591087387347625,0.03477115500908054,0.2324787873274643,21984,340,3517,estimated
n_movimentacoes,ppml,-0.04769802166309903,0.03539250349504748,0.17865898467784103,21984,340,3517,estimated
ln_salario_real_adm,ols,-0.050622252091516176,0.010435338521616098,1.8756350494975038e-06,21947,340,3517,estimated
asinh_saldo,ols,-0.559673991137837,0.3826679981609826,0.14451492080079165,21984,340,3517,estimated
admissoes,ppml,-0.05359477962722678,0.03855440839658921,0.16540823960521878,21984,340,3532,estimated
desligamentos,ppml,-0.04188844507209217,0.03471072088106905,0.22835562536541487,21984,340,3532,estimated
n_movimentacoes,ppml,-0.04794382863286438,0.035338506229058514,0.17577860750307872,21984,340,3532,estimated
ln_salario_real_adm,ols,-0.04939860813442348,0.010347650203291172,2.692084192901234e-06,21947,340,3532,estimated
asinh_saldo,ols,-0.5587457815937968,0.38268778007823756,0.145200633484603,21984,340,3532,estimated
admissoes,ppml,-0.0562771184362789,0.040162719384789956,0.16206075710693302,21984,340,3541,estimated
desligamentos,ppml,-0.043676680654020215,0.03622596547909279,0.22878432605345944,21984,340,3541,estimated
n_movimentacoes,ppml,-0.050187242180578975,0.03686328464567097,0.17427806703618187,21984,340,3541,estimated
ln_salario_real_adm,ols,-0.05089719544827337,0.01043482050208142,1.6542064189550842e-06,21947,340,3541,estimated
asinh_saldo,ols,-0.5727795142196342,0.38214530501214233,0.13484247432499008,21984,340,3541,estimated
admissoes,ppml,-0.053688643598291605,0.03858484513983284,0.16500328917149876,21984,340,3543,estimated
desligamentos,ppml,-0.0420884011781552,0.03473579747042637,0.22648176656316088,21984,340,3543,estimated
n_movimentacoes,ppml,-0.04808506247442395,0.03536743802060031,0.17486468930619736,21984,340,3543,estimated
ln_salario_real_adm,ols,-0.05119440732571002,0.010425958545727977,1.4166547399607765e-06,21947,340,3543,estimated
asinh_saldo,ols,-0.49760576301600823,0.3789082261143637,0.18998287646813794,21984,340,3543,estimated
admissoes,ppml,-0.05381137435084477,0.03857103426672459,0.1638917751700295,21984,340,3544,estimated
desligamentos,ppml,-0.042028125272914905,0.03470956651039781,0.22679586324428014,21984,340,3544,estimated
n_movimentacoes,ppml,-0.04811986246482938,0.035345766374287504,0.1742902603836094,21984,340,3544,estimated
ln_salario_real_adm,ols,-0.051541386244893614,0.010404675330508588,1.1514376052623732e-06,21947,340,3544,estimated
asinh_saldo,ols,-0.582951267828033,0.3814228321527355,0.12735577105147722,21984,340,3544,estimated
admissoes,ppml,-0.05376012387174818,0.03856366090489313,0.1642120171671384,21984,340,3545,estimated
desligamentos,ppml,-0.04200561530892037,0.034705710247305746,0.22699271527139553,21984,340,3545,estimated
n_movimentacoes,ppml,-0.04808262226182529,0.03534046778984882,0.1745585183082483,21984,340,3545,estimated
ln_salario_real_adm,ols,-0.05200292175937815,0.01035790912384535,8.339901205189904e-07,21947,340,3545,estimated
asinh_saldo,ols,-0.5675326730043344,0.382409727609153,0.13871267607500815,21984,340,3545,estimated
admissoes,ppml,-0.05374367101696406,0.038568033059656504,0.16438847179354754,21984,340,3547,estimated
desligamentos,ppml,-0.04199131151353859,0.03471082457332241,0.2272189607514381,21984,340,3547,estimated
n_movimentacoes,ppml,-0.04806689910870891,0.03534508543805244,0.17475528777455396,21984,340,3547,estimated
ln_salario_real_adm,ols,-0.05039268991958176,0.010430110956413292,2.0566871115068608e-06,21947,340,3547,estimated
asinh_saldo,ols,-0.556717431901023,0.3827227599209908,0.14669885269316918,21984,340,3547,estimated
admissoes,ppml,-0.05584855758668787,0.03876219502216036,0.15056426221131725,21984,340,3548,estimated
