family,family_label,event_time,periodo,is_reference,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,n_obs,n_clusters,effect_percent,bh_adjusted_p_value
dismissal_without_cause,Dismissal without cause,-23,2021-01,False,0.21372890179560755,0.06303539419884246,0.08974044137167572,0.3377173622195394,0.0007794117296007208,340,15935,341,23.828691192751826,0.009480433757308972
dismissal_without_cause,Dismissal without cause,-22,2021-02,False,0.12662805782648276,0.0488938479601683,0.03045553428106182,0.2228005813719037,0.010014527890028768,340,15935,341,13.499478683565986,0.04531163438767115
dismissal_without_cause,Dismissal without cause,-21,2021-03,False,0.10665065903081708,0.05420284714079457,3.551601479633015e-05,0.21326580204683782,0.0499241597661102,340,15935,341,11.254552885107609,0.13041722929813426
dismissal_without_cause,Dismissal without cause,-20,2021-04,False,0.08554075470800612,0.050485024088057454,-0.013761557757873605,0.18484306717388585,0.09110903002224191,340,15935,341,8.930595478555526,0.213102477001176
dismissal_without_cause,Dismissal without cause,-19,2021-05,False,0.05058876882862183,0.054246181526290516,-0.056111611438777256,0.15728914909602093,0.3516999112315413,340,15935,341,5.189023427466373,0.5280545046623399
dismissal_without_cause,Dismissal without cause,-18,2021-06,False,0.10936641454591833,0.059107146074732414,-0.0068953164228886255,0.2256281455147253,0.06513657034163245,340,15935,341,11.557103691745397,0.1595178720017183
dismissal_without_cause,Dismissal without cause,-17,2021-07,False,0.10488518426148151,0.037610310637764634,0.030906991988545823,0.1788633765344172,0.005589336045978666,340,15935,341,11.058309061747346,0.02944386068216882
dismissal_without_cause,Dismissal without cause,-16,2021-08,False,0.06544760840297402,0.03645037444574056,-0.006249029126520339,0.13714424593246838,0.07345774648663506,340,15935,341,6.763680065117547,0.17328494043001091
dismissal_without_cause,Dismissal without cause,-15,2021-09,False,0.12484760672894506,0.03674572897539394,0.05257001696021446,0.19712519649767565,0.0007604070722369016,340,15935,341,13.297578202475924,0.009480433757308972
dismissal_without_cause,Dismissal without cause,-14,2021-10,False,0.05599112390573301,0.02650035877974294,0.003865826244907271,0.10811642156655876,0.035342578133366276,340,15935,341,5.7588296441535185,0.10351565352946836
dismissal_without_cause,Dismissal without cause,-13,2021-11,False,-0.015219242299624947,0.02620803979063276,-0.06676955852544736,0.03633107392619747,0.561821353707511,340,15935,341,-1.5104014929914666,0.7454937193426587
dismissal_without_cause,Dismissal without cause,-12,2021-12,False,-0.00330084814348763,0.030784536157154634,-0.06385297590444255,0.0572512796174673,0.9146743358318008,340,15935,341,-0.329540633343062,0.9576614587650669
dismissal_without_cause,Dismissal without cause,-11,2022-01,False,0.23486854361354922,0.05489865390754136,0.12688477252979008,0.34285231469730837,2.451992169372197e-05,340,15935,341,26.47424993257914,0.0007519442652741404
dismissal_without_cause,Dismissal without cause,-10,2022-02,False,0.15075618195977475,0.04179356239286176,0.06854967682749426,0.23296268709205525,0.0003559864682098901,340,15935,341,16.271313308151775,0.007557866555840744
dismissal_without_cause,Dismissal without cause,-9,2022-03,False,0.11129117787154066,0.04668292206383793,0.019467469804812135,0.2031148859382692,0.01767463920802026,340,15935,341,11.772031489861822,0.06592162731639989
dismissal_without_cause,Dismissal without cause,-8,2022-04,False,0.13644681297237354,0.04391057381511884,0.05007621891383782,0.22281740703090927,0.0020465829525213586,340,15935,341,14.619391350718455,0.01569046930266375
dismissal_without_cause,Dismissal without cause,-7,2022-05,False,0.1398197252189795,0.030528403460002233,0.07977140169670321,0.1998680487412558,6.5344532191868865e-06,340,15935,341,15.00664521902737,0.00045087727212389517
dismissal_without_cause,Dismissal without cause,-6,2022-06,False,0.13881696865819895,0.030944040239919385,0.07795110183199842,0.19968283548439947,9.939090564792252e-06,340,15935,341,14.891379352461115,0.0005486377991765323
dismissal_without_cause,Dismissal without cause,-5,2022-07,False,0.1456430260274032,0.03501034754351511,0.076778872070753,0.2145071799840534,4.034960693211076e-05,340,15935,341,15.678317285269774,0.001113649151326257
dismissal_without_cause,Dismissal without cause,-4,2022-08,False,0.14804034928159746,0.034030645713113324,0.0811032352549721,0.21497746330822282,1.800511756333556e-05,340,15935,341,15.955968281923877,0.000709916063925802
dismissal_without_cause,Dismissal without cause,-3,2022-09,False,0.15608830261278384,0.029956247748585484,0.09716538976942775,0.21501121545613994,3.272054056591145e-07,340,15935,341,16.89294180545006,9.03086919619156e-05
dismissal_without_cause,Dismissal without cause,-2,2022-10,False,0.10891531215184509,0.023702033812685996,0.0622942238140668,0.1555364004896234,6.101642084699321e-06,340,15935,341,11.506791364053095,0.00045087727212389517
dismissal_without_cause,Dismissal without cause,-1,2022-11,True,0.0,,,,,340,15935,341,0.0,
dismissal_without_cause,Dismissal without cause,0,2022-12,False,-0.04052687768740383,0.035308266054068,-0.10997702714586247,0.028923271771054804,0.25185752071887,340,15935,341,-3.9716646031256375,0.4513810111584944
dismissal_without_cause,Dismissal without cause,1,2023-01,False,0.18909947429432628,0.038656614073969815,0.11306323901491515,0.2651357095737374,1.5450208872280768e-06,340,15935,341,20.81611274812298,0.0002132128824374746
dismissal_without_cause,Dismissal without cause,2,2023-02,False,0.15135856407612025,0.03413542000683174,0.08421536260393736,0.21850176554830314,1.2499109298680366e-05,340,15935,341,16.34137416751843,0.0005749590277392969
dismissal_without_cause,Dismissal without cause,3,2023-03,False,0.13581390284376302,0.04896833853220188,0.03949485889563932,0.23213294679188673,0.0058516023531272054,340,15935,341,14.54687052899955,0.02944386068216882
dismissal_without_cause,Dismissal without cause,4,2023-04,False,0.1245161812179544,0.05676883476941519,0.012853828462339942,0.23617853397356886,0.028956004400723323,340,15935,341,13.260034716504332,0.08709008543446715
dismissal_without_cause,Dismissal without cause,5,2023-05,False,0.11593396112967067,0.04987413188184776,0.01783325270062759,0.21403466955871375,0.020685593693634763,340,15935,341,12.292171320318749,0.07512136657162098
dismissal_without_cause,Dismissal without cause,6,2023-06,False,0.14691621493190307,0.04696234790930862,0.05454288580191477,0.23928954406189137,0.0019096376411837923,340,15935,341,15.825691432985522,0.015058856827620763
dismissal_without_cause,Dismissal without cause,7,2023-07,False,0.1498824522454818,0.04570369902495476,0.059984842342267225,0.23978006214869638,0.0011477585003314417,340,15935,341,16.169767974842113,0.010559378203049263
dismissal_without_cause,Dismissal without cause,8,2023-08,False,0.14076949810978726,0.0416439207146362,0.05885733303096807,0.22268166318860644,0.0008082303263334811,340,15935,341,15.115927301283744,0.009480433757308972
dismissal_without_cause,Dismissal without cause,9,2023-09,False,0.11475468138014537,0.04322945533586892,0.029723824031149232,0.1997855387291415,0.00831488415549586,340,15935,341,12.159825488368035,0.03956737977442858
dismissal_without_cause,Dismissal without cause,10,2023-10,False,0.09472474973478982,0.04013976466113062,0.015771208071939047,0.1736782913976406,0.018845688886897527,340,15935,341,9.935621538733368,0.0693521351037829
dismissal_without_cause,Dismissal without cause,11,2023-11,False,-0.0007107204293625993,0.039865172063451214,-0.07912414786174343,0.07770270700301823,0.985786441843616,340,15935,341,-0.07104679274212147,0.992981963316927
dismissal_without_cause,Dismissal without cause,12,2023-12,False,-0.07020532299869807,0.05247132532053205,-0.1734146219264346,0.03300397592903845,0.18179874899493997,340,15935,341,-6.779760233675547,0.36894452001914285
dismissal_without_cause,Dismissal without cause,13,2024-01,False,0.18461122591916104,0.052582206227596774,0.08118382804666348,0.2880386237916586,0.000506782859753141,340,15935,341,20.27507509032012,0.009324804619457793
dismissal_without_cause,Dismissal without cause,14,2024-02,False,0.11787630364433443,0.05820722299902514,0.003384690528759879,0.23236791675990898,0.04363658709402962,340,15935,341,12.51049313797381,0.11924453502922946
dismissal_without_cause,Dismissal without cause,15,2024-03,False,0.09486690475783671,0.0513217793742071,-0.0060812766837174265,0.19581508619939086,0.06540211717815403,340,15935,341,9.951250550391817,0.1595178720017183
dismissal_without_cause,Dismissal without cause,16,2024-04,False,0.13099159615220776,0.05465627253455028,0.023484580923703605,0.23849861138071193,0.017085569586782645,340,15935,341,13.995820123652292,0.06498593771797881
dismissal_without_cause,Dismissal without cause,17,2024-05,False,0.11819455027644914,0.04435758117188993,0.030944708064258863,0.2054443924886394,0.00807579284086124,340,15935,341,12.54630492168006,0.03910383901890706
dismissal_without_cause,Dismissal without cause,18,2024-06,False,0.1396939054282745,0.04401903573631783,0.053109970487286884,0.22627784036926213,0.001643646614490235,340,15935,341,14.992176017271285,0.013342543105861908
dismissal_without_cause,Dismissal without cause,19,2024-07,False,0.1550905692029158,0.036020268123599784,0.08423993607108751,0.2259412023347441,2.1808812800561128e-05,340,15935,341,16.776371974510624,0.0007519442652741404
dismissal_without_cause,Dismissal without cause,20,2024-08,False,0.11138951120428875,0.039684976575765966,0.0333305221216223,0.1894485002869552,0.005291400220143183,340,15935,341,11.783022946630677,0.02944386068216882
dismissal_without_cause,Dismissal without cause,21,2024-09,False,0.1256413955725273,0.041353623964339684,0.044300234254258816,0.20698255689079575,0.002564012905749591,340,15935,341,13.38754825994769,0.01854565312458238
dismissal_without_cause,Dismissal without cause,22,2024-10,False,0.08576992073441797,0.03782065540064225,0.011377987520556881,0.16016185394827906,0.023968024132862364,340,15935,341,8.955561530852261,0.07970089952614473
dismissal_without_cause,Dismissal without cause,23,2024-11,False,-0.0014323132282312242,0.04256959522047483,-0.08516524834095501,0.08230062188449255,0.9731788723760739,340,15935,341,-0.14312879572008488,0.9874903263816044
mutual_agreement,Mutual agreement,-23,2021-01,False,0.0038811896787279217,0.1110226402593387,-0.2145058264488975,0.22226820580635334,0.972133557551289,336,15839,337,0.38887312489874704,0.9874903263816044
mutual_agreement,Mutual agreement,-22,2021-02,False,0.006082409039104521,0.10931601220301726,-0.20894758542168682,0.22111240349989583,0.9556611870595484,336,15839,337,0.6100944449891594,0.9797904039551727
mutual_agreement,Mutual agreement,-21,2021-03,False,0.009816300365812167,0.09615624384998277,-0.17932777986310053,0.19896038059472484,0.918748532746765,336,15839,337,0.9864638279271862,0.9576614587650669
mutual_agreement,Mutual agreement,-20,2021-04,False,0.013443974853624007,0.12001959904677915,-0.22264050351434,0.249528453221588,0.9108785360609386,336,15839,337,1.3534751426720444,0.9576614587650669
mutual_agreement,Mutual agreement,-19,2021-05,False,-0.11871423363892972,0.1091353705945005,-0.3333888971349708,0.09596042985711137,0.27747610344834595,336,15839,337,-11.19384573797794,0.4756733201971645
mutual_agreement,Mutual agreement,-18,2021-06,False,0.10278211016136714,0.11589200769760291,-0.12518319218596557,0.3307474125086998,0.3757787573263798,336,15839,337,10.824990637320568,0.548447573129512
mutual_agreement,Mutual agreement,-17,2021-07,False,0.01570340473898453,0.12809452009718844,-0.236264842106704,0.26767165158467304,0.9025032259666022,336,15839,337,1.5827351142787733,0.9576614587650669
mutual_agreement,Mutual agreement,-16,2021-08,False,0.01073994288668962,0.10618112143998856,-0.1981235666299076,0.21960345240328683,0.9194937919302273,336,15839,337,1.0797823097763357,0.9576614587650669
mutual_agreement,Mutual agreement,-15,2021-09,False,0.11165063667598542,0.11553790124969855,-0.11561812080114113,0.33891939415311195,0.3345615648916347,336,15839,337,11.812216152604254,0.5121072843995012
mutual_agreement,Mutual agreement,-14,2021-10,False,0.005509037189252002,0.09804620992830312,-0.187352699649724,0.198370774028228,0.9552253015438743,336,15839,337,0.5524239839128295,0.9797904039551727
mutual_agreement,Mutual agreement,-13,2021-11,False,0.16230241016009717,0.12214699631497428,-0.07796676369370595,0.40257158401390025,0.1848332386864553,336,15839,337,17.621588717757927,0.3716153581956956
mutual_agreement,Mutual agreement,-12,2021-12,False,0.11869504539806583,0.12315297063717254,-0.12355292962649586,0.3609430204226275,0.3358384727402526,336,15839,337,12.60264789676529,0.5121072843995012
mutual_agreement,Mutual agreement,-11,2022-01,False,0.11124050528654103,0.13193287569648054,-0.1482779765761503,0.3707589871492324,0.3997388644360482,336,15839,337,11.766367855592277,0.5629030680946936
mutual_agreement,Mutual agreement,-10,2022-02,False,-0.02124504552273604,0.1241309892809882,-0.2654168315181157,0.2229267404726436,0.8642086745103872,336,15839,337,-2.102095925625617,0.9540863766594674
mutual_agreement,Mutual agreement,-9,2022-03,False,0.30403561190935485,0.10372710363512476,0.09999927660403923,0.5080719472146704,0.0036088899173629674,336,15839,337,35.53173206678404,0.0237155623140995
mutual_agreement,Mutual agreement,-8,2022-04,False,0.13261498725107354,0.1183984244023042,-0.1002805605311862,0.3655105350333333,0.2634822478952341,336,15839,337,14.181030216882116,0.46319172241455175
mutual_agreement,Mutual agreement,-7,2022-05,False,-0.02590280451020109,0.09711239117179471,-0.21692767373945793,0.16512206471905577,0.7898405454789998,336,15839,337,-2.557020481258489,0.9121171152811881
mutual_agreement,Mutual agreement,-6,2022-06,False,0.048986848775150624,0.1095863611533278,-0.16657493542180302,0.26454863297210424,0.6551515644889336,336,15839,337,5.020653914687405,0.8108602322822677
mutual_agreement,Mutual agreement,-5,2022-07,False,0.019245235054913372,0.09417497528825859,-0.16600159207020257,0.20449206218002933,0.8381989230369191,336,15839,337,1.9431618334389267,0.940724588639017
mutual_agreement,Mutual agreement,-4,2022-08,False,-0.07932388827174319,0.10592217916443711,-0.28767804554473597,0.1290302690012496,0.4544484188518323,336,15839,337,-7.625931278673257,0.6271388180155286
mutual_agreement,Mutual agreement,-3,2022-09,False,0.04855613256771362,0.09954706515150712,-0.14725786061347731,0.24437012574890457,0.6260304490570645,336,15839,337,4.975429557061773,0.7925890088979349
mutual_agreement,Mutual agreement,-2,2022-10,False,-0.08543738778208378,0.09488068325871901,-0.2720723773357488,0.10119760177158126,0.36851412152872864,336,15839,337,-8.188937380283475,0.5468274061394038
mutual_agreement,Mutual agreement,-1,2022-11,True,0.0,,,,,336,15839,337,0.0,
mutual_agreement,Mutual agreement,0,2022-12,False,0.00015166462536082994,0.13453761357862626,-0.26449046528377973,0.26479379453450136,0.9991012117102649,336,15839,337,0.015167612702158054,0.9994291048662937
mutual_agreement,Mutual agreement,1,2023-01,False,-0.14623888952777897,0.14418678889111058,-0.42986142379105347,0.13738364473549552,0.3112017266092808,336,15839,337,-13.604871038499585,0.50608696368842
mutual_agreement,Mutual agreement,2,2023-02,False,0.08134676469947365,0.08161249069100833,-0.07918903483762772,0.241882564236575,0.3196060302357455,336,15839,337,8.474698331786232,0.5120012413053674
mutual_agreement,Mutual agreement,3,2023-03,False,-0.02578781146864106,0.11805973626178122,-0.25801714295273087,0.20644152001544874,0.8272265467335034,336,15839,337,-2.545814572376533,0.9395659543145964
mutual_agreement,Mutual agreement,4,2023-04,False,-0.07270216823284355,0.1360934624750906,-0.34040472975530744,0.19500039328962038,0.593551148856555,336,15839,337,-7.0122264082611965,0.7691085309127192
mutual_agreement,Mutual agreement,5,2023-05,False,-0.06764632170124518,0.14618989175999614,-0.35520905822876736,0.219916414826277,0.643858063529867,336,15839,337,-6.540904032846299,0.8018889721878035
mutual_agreement,Mutual agreement,6,2023-06,False,-0.0254689233541955,0.11061380860861714,-0.24305174743512617,0.19211390072673515,0.8180369699295502,336,15839,337,-2.5147326353739405,0.9368390195043811
mutual_agreement,Mutual agreement,7,2023-07,False,0.026403194565899464,0.1285306383709575,-0.22642291846153972,0.27922930759333864,0.8373657742678307,336,15839,337,2.67548470018383,0.940724588639017
mutual_agreement,Mutual agreement,8,2023-08,False,0.07015387432204437,0.128767492409951,-0.18313814229688516,0.32344589094097387,0.5862453093174236,336,15839,337,7.2673225421198016,0.7632250253377779
mutual_agreement,Mutual agreement,9,2023-09,False,0.053030186615606455,0.10502262933421415,-0.1535545117180059,0.2596148849492188,0.6139315900876148,336,15839,337,5.44614752621569,0.7863294432970862
