outcome,target,M,lb,ub,excludes_zero,internal_grid_lower,internal_grid_upper,ci_open_at_internal_grid,method,Delta
ln_salario_real_adm,average_post_event_time_0_to_23,1.1,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.15,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.2,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.25,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.3,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.35,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.4,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.45,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.5,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.55,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.6,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.65,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.7,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.75,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.8,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.85,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.9,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.95,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,2,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
