outcome,target,M,lb,ub,excludes_zero,internal_grid_lower,internal_grid_upper,ci_open_at_internal_grid,method,Delta,grid_stage,grid_points,ci_open_below,ci_open_above,identified_set_empty,observed_pre_period_curvature,interval_uninformative
ln_salario_real_adm,average_post_event_time_0_to_23,1e-05,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaSD,coarse_open_both_sides,25,TRUE,TRUE,FALSE,0.0818108918052574,TRUE
ln_salario_real_adm,average_post_event_time_0_to_23,2e-05,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaSD,coarse_open_both_sides,25,TRUE,TRUE,FALSE,0.0818108918052574,TRUE
ln_salario_real_adm,average_post_event_time_0_to_23,5e-05,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaSD,coarse_open_both_sides,25,TRUE,TRUE,FALSE,0.0818108918052574,TRUE
ln_salario_real_adm,average_post_event_time_0_to_23,1e-04,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaSD,coarse_open_both_sides,25,TRUE,TRUE,FALSE,0.0818108918052574,TRUE
ln_salario_real_adm,average_post_event_time_0_to_23,2e-04,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaSD,coarse_open_both_sides,25,TRUE,TRUE,FALSE,0.0818108918052574,TRUE
ln_salario_real_adm,average_post_event_time_0_to_23,5e-04,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaSD,coarse_open_both_sides,25,TRUE,TRUE,FALSE,0.0818108918052574,TRUE
ln_salario_real_adm,average_post_event_time_0_to_23,0.001,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaSD,coarse_open_both_sides,25,TRUE,TRUE,FALSE,0.0818108918052574,TRUE
ln_salario_real_adm,average_post_event_time_0_to_23,0.002,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaSD,coarse_open_both_sides,25,TRUE,TRUE,FALSE,0.0818108918052574,TRUE
ln_salario_real_adm,average_post_event_time_0_to_23,0.005,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaSD,coarse_open_both_sides,25,TRUE,TRUE,FALSE,0.0818108918052574,TRUE
ln_salario_real_adm,average_post_event_time_0_to_23,0.01,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaSD,coarse_open_both_sides,25,TRUE,TRUE,FALSE,0.0818108918052574,TRUE
ln_salario_real_adm,average_post_event_time_0_to_23,0.0818108918052574,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaSD,coarse_open_both_sides,25,TRUE,TRUE,FALSE,0.0818108918052574,TRUE
