outcome,row_position,column_position,row_event_time,column_event_time,covariance
ln_salario_real_adm,4,39,-19,17,3.674553267091684e-05
ln_salario_real_adm,4,40,-19,18,0.00012840455745359258
ln_salario_real_adm,4,41,-19,19,7.009918659437871e-05
ln_salario_real_adm,4,42,-19,20,9.999804541672297e-05
ln_salario_real_adm,4,43,-19,21,0.00011599711894642056
ln_salario_real_adm,4,44,-19,22,0.0001099178375422589
ln_salario_real_adm,4,45,-19,23,6.848874564947826e-05
ln_salario_real_adm,5,0,-18,-23,8.953017636328517e-05
ln_salario_real_adm,5,1,-18,-22,3.43101039344878e-05
ln_salario_real_adm,5,2,-18,-21,3.3061233848898823e-05
ln_salario_real_adm,5,3,-18,-20,0.00020951896885480588
ln_salario_real_adm,5,4,-18,-19,0.00021809255993245646
ln_salario_real_adm,5,5,-18,-18,0.0003428807411094422
ln_salario_real_adm,5,6,-18,-17,7.59235024708693e-05
ln_salario_real_adm,5,7,-18,-16,0.000100119095463866
ln_salario_real_adm,5,8,-18,-15,0.00015304810389182798
ln_salario_real_adm,5,9,-18,-14,0.00012419782841178182
ln_salario_real_adm,5,10,-18,-13,5.8053616455674906e-05
ln_salario_real_adm,5,11,-18,-12,9.465039905263924e-05
ln_salario_real_adm,5,12,-18,-11,0.00010600119537888477
ln_salario_real_adm,5,13,-18,-10,7.869733209318441e-05
ln_salario_real_adm,5,14,-18,-9,9.431092901006965e-05
ln_salario_real_adm,5,15,-18,-8,9.233455253391344e-05
ln_salario_real_adm,5,16,-18,-7,0.00010724616144982814
ln_salario_real_adm,5,17,-18,-6,0.00014662895703844425
ln_salario_real_adm,5,18,-18,-5,0.00019392559245015579
ln_salario_real_adm,5,19,-18,-4,4.979264895929786e-05
ln_salario_real_adm,5,20,-18,-3,1.549515924321767e-05
ln_salario_real_adm,5,21,-18,-2,2.9134300467697316e-05
ln_salario_real_adm,5,22,-18,0,0.00012871398066211014
ln_salario_real_adm,5,23,-18,1,0.00011933863579645746
ln_salario_real_adm,5,24,-18,2,0.00018050914872240652
ln_salario_real_adm,5,25,-18,3,-7.265802962269658e-07
ln_salario_real_adm,5,26,-18,4,9.621148802787125e-05
ln_salario_real_adm,5,27,-18,5,0.00013462734318335514
ln_salario_real_adm,5,28,-18,6,8.7296677926908e-05
ln_salario_real_adm,5,29,-18,7,9.470216012507028e-05
ln_salario_real_adm,5,30,-18,8,0.00010078696234631332
ln_salario_real_adm,5,31,-18,9,8.178151212371e-05
ln_salario_real_adm,5,32,-18,10,5.87481338659195e-05
ln_salario_real_adm,5,33,-18,11,0.00010421059359258275
ln_salario_real_adm,5,34,-18,12,-4.6643201191181486e-05
ln_salario_real_adm,5,35,-18,13,7.852816911873344e-05
ln_salario_real_adm,5,36,-18,14,0.00010092651191913926
ln_salario_real_adm,5,37,-18,15,0.000105501301205983
ln_salario_real_adm,5,38,-18,16,3.991053053668827e-05
ln_salario_real_adm,5,39,-18,17,0.00011735881978267493
ln_salario_real_adm,5,40,-18,18,6.656378261405954e-05
ln_salario_real_adm,5,41,-18,19,4.0789909500321124e-05
ln_salario_real_adm,5,42,-18,20,0.00012480880776574808
ln_salario_real_adm,5,43,-18,21,0.0001072994804177688
ln_salario_real_adm,5,44,-18,22,0.00010823900353862938
ln_salario_real_adm,5,45,-18,23,7.897054612207456e-05
ln_salario_real_adm,6,0,-17,-23,6.37283252316048e-05
ln_salario_real_adm,6,1,-17,-22,0.00015420229432512405
ln_salario_real_adm,6,2,-17,-21,5.5489459341535095e-05
ln_salario_real_adm,6,3,-17,-20,7.15007635953868e-05
ln_salario_real_adm,6,4,-17,-19,5.078399388337953e-05
ln_salario_real_adm,6,5,-17,-18,7.592350247086888e-05
ln_salario_real_adm,6,6,-17,-17,0.00029830751646996466
ln_salario_real_adm,6,7,-17,-16,0.00024146278934349862
ln_salario_real_adm,6,8,-17,-15,0.00014999995985034498
ln_salario_real_adm,6,9,-17,-14,0.00012175958004665952
ln_salario_real_adm,6,10,-17,-13,0.00012047217049607948
ln_salario_real_adm,6,11,-17,-12,9.26590472047868e-05
ln_salario_real_adm,6,12,-17,-11,5.121391671134399e-05
ln_salario_real_adm,6,13,-17,-10,5.439406221647109e-05
ln_salario_real_adm,6,14,-17,-9,6.582412843890435e-05
ln_salario_real_adm,6,15,-17,-8,0.00011634782734175824
ln_salario_real_adm,6,16,-17,-7,9.072388073690632e-05
ln_salario_real_adm,6,17,-17,-6,3.327858618844472e-05
ln_salario_real_adm,6,18,-17,-5,5.0169431312523817e-05
ln_salario_real_adm,6,19,-17,-4,-1.01619494726874e-05
ln_salario_real_adm,6,20,-17,-3,0.00012148047871057796
ln_salario_real_adm,6,21,-17,-2,6.960370380187618e-05
ln_salario_real_adm,6,22,-17,0,1.4922771276812252e-05
ln_salario_real_adm,6,23,-17,1,3.664473827698496e-05
ln_salario_real_adm,6,24,-17,2,6.070833357555025e-05
ln_salario_real_adm,6,25,-17,3,0.00010638856337295511
ln_salario_real_adm,6,26,-17,4,3.852664299148554e-05
ln_salario_real_adm,6,27,-17,5,2.7739026204212706e-05
ln_salario_real_adm,6,28,-17,6,0.00011226040262027792
ln_salario_real_adm,6,29,-17,7,9.963462942964166e-05
ln_salario_real_adm,6,30,-17,8,8.294134642221995e-05
