outcome,estimator,event_time,periodo,is_reference,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,n_obs,n_clusters,effect_percent
asinh_saldo,ols,23,2024-11,False,-1.4583910632013157,0.7993761149171916,-3.0307364898928277,0.11395436349019605,0.06896737642712858,340,15935,341,
desligamentos,ppml,-23,2021-01,False,0.12402837102810987,0.04478671102513591,0.03593444509911002,0.2121222969571097,0.0059257272080628365,340,15935,341,13.204798790886482
desligamentos,ppml,-22,2021-02,False,0.08058453690229746,0.0411688107033348,-0.0003931030643691269,0.16156217686896404,0.05111623951905653,340,15935,341,8.392047404846053
desligamentos,ppml,-21,2021-03,False,0.005126982123528763,0.039169456792828704,-0.07191799721085497,0.08217196145791249,0.8959378813467289,340,15935,341,0.5140147586457703
desligamentos,ppml,-20,2021-04,False,0.00491833114643442,0.043836061274592726,-0.08130569929812649,0.09114236159099533,0.9107323946693631,340,15935,341,0.49304459905292647
desligamentos,ppml,-19,2021-05,False,0.021357113511599853,0.04297952579430473,-0.06318214099320289,0.1058963680164026,0.6195710857756951,340,15935,341,2.158680895651921
desligamentos,ppml,-18,2021-06,False,0.06978703298694143,0.043073816562373,-0.014937688227692564,0.15451175420157542,0.106122199250263,340,15935,341,7.227979671042414
desligamentos,ppml,-17,2021-07,False,0.06956122286987972,0.03785542616703818,-0.004899103250030193,0.14402154898978964,0.06700126665682893,340,15935,341,7.20376924198339
desligamentos,ppml,-16,2021-08,False,0.052861486974704615,0.037359891368400844,-0.020624139176236837,0.12634711312564606,0.1580053477066452,340,15935,341,5.428360299385109
desligamentos,ppml,-15,2021-09,False,0.07018390799900981,0.039413334490961426,-0.007340770410909553,0.14770858640892917,0.07585183937853324,340,15935,341,7.270544222613193
desligamentos,ppml,-14,2021-10,False,0.04739726253662153,0.03317280068450327,-0.017852499713569038,0.1126470247868121,0.15398006837362943,340,15935,341,4.8538471404634205
desligamentos,ppml,-13,2021-11,False,0.006829696544242739,0.028834195175156733,-0.04988617733533233,0.06354557042381781,0.8129072634138672,340,15935,341,0.6853072107385688
desligamentos,ppml,-12,2021-12,False,0.04034384706738433,0.035831898749242995,-0.030136269959732336,0.11082396409450099,0.26099353759014177,340,15935,341,4.11687154597972
desligamentos,ppml,-11,2022-01,False,0.1538680172436723,0.03928599951283548,0.07659380237247769,0.2311422321148669,0.00010854704253815406,340,15935,341,16.633694025533803
desligamentos,ppml,-10,2022-02,False,0.11119638193469629,0.02742564410607188,0.057251079742725926,0.16514168412666666,6.23410551521264e-05,340,15935,341,11.76143645761468
desligamentos,ppml,-9,2022-03,False,0.06020447925624043,0.03447004654564005,-0.007596921151495302,0.12800587966397617,0.08161434119270239,340,15935,341,6.205369229278999
