case_id,case_label_pt,age_group,periodo_num,period,dictionary_sha256,outcome,observed_value,baseline_period,baseline_value,normalized_value,is_descriptive,has_counterfactual,analysis_type
customer_service,Atendimento ao cliente,age_22_25,202506,2025-06,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1111.0,202211,1431.0,0.7763801537386443,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202507,2025-07,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1015.0,202211,1431.0,0.7092941998602376,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202508,2025-08,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1040.0,202211,1431.0,0.726764500349406,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202509,2025-09,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1346.0,202211,1431.0,0.9406009783368274,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202510,2025-10,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1273.0,202211,1431.0,0.8895877009084556,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202511,2025-11,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1132.0,202211,1431.0,0.7910552061495457,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202512,2025-12,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,858.0,202211,1431.0,0.59958071278826,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202601,2026-01,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1050.0,202211,1431.0,0.7337526205450734,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202602,2026-02,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1080.0,202211,1431.0,0.7547169811320755,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202603,2026-03,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1095.0,202211,1431.0,0.7651991614255765,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202604,2026-04,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1051.0,202211,1431.0,0.7344514325646401,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202605,2026-05,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1077.0,202211,1431.0,0.7526205450733753,True,False,normalized_monthly_trajectory
