case_id,case_label_pt,age_group,outcome,pre_start,pre_end,pre_months_expected,pre_months_observed,pre_admissions,pre_wage_records,wage_record_coverage_pct,pre_mean,pre_standard_deviation,monthly_linear_slope,annualized_log_slope_pct,coefficient_of_variation,diagnostic_type,is_causal_test,has_counterfactual
production_supervisors,Supervisores de produção,age_35_40,real_admission_wage,202101,202211,23,23,14887,14812,99.49620474239269,4557.9304695769415,767.1303508043995,-52.30887657140804,-11.638935034406925,0.1683067251518655,descriptive_preperiod,False,False
production_supervisors,Supervisores de produção,age_41_49,admissions,202101,202211,23,23,17578,17495,99.5278188644897,764.2608695652174,104.68512513882195,-1.5424901185770856,-2.06329646904578,0.13697564445289026,descriptive_preperiod,False,False
production_supervisors,Supervisores de produção,age_41_49,real_admission_wage,202101,202211,23,23,17578,17495,99.5278188644897,4602.17491048001,815.5001233993978,-36.688003718070014,-7.289542598281833,0.17719885472895697,descriptive_preperiod,False,False
production_supervisors,Supervisores de produção,age_50_plus,admissions,202101,202211,23,23,10184,10123,99.40102120974078,442.7826086956522,58.48445094117204,0.5424901185770816,1.6156763335440285,0.13208389352385674,descriptive_preperiod,False,False
production_supervisors,Supervisores de produção,age_50_plus,real_admission_wage,202101,202211,23,23,10184,10123,99.40102120974078,4724.290333061656,1041.1106879990716,-10.359820198778618,-2.0110089212512894,0.22037398521279325,descriptive_preperiod,False,False
software_developers,Desenvolvedores de software,age_22_25,admissions,202101,202211,23,23,68894,68803,99.86791302580777,2995.391304347826,413.5184911622228,-28.54347826086952,-11.471879424296397,0.13805157628721115,descriptive_preperiod,False,False
software_developers,Desenvolvedores de software,age_22_25,real_admission_wage,202101,202211,23,23,68894,68803,99.86791302580777,5450.756751311304,228.79150550051497,25.02746622353125,5.805896712275213,0.041974264480885884,descriptive_preperiod,False,False
software_developers,Desenvolvedores de software,age_26_30,admissions,202101,202211,23,23,77899,77802,99.87547978793053,3386.913043478261,494.22384587337314,-36.92490118577076,-12.77003204513665,0.1459216222940934,descriptive_preperiod,False,False
software_developers,Desenvolvedores de software,age_26_30,real_admission_wage,202101,202211,23,23,77899,77802,99.87547978793053,7284.822061345825,231.59660168976984,23.44834730298075,4.016197027744133,0.031791662135256575,descriptive_preperiod,False,False
software_developers,Desenvolvedores de software,age_31_34,admissions,202101,202211,23,23,45343,45273,99.84562115431268,1971.4347826086957,300.9838687121832,-21.35573122529649,-12.66250912444936,0.1526724958732376,descriptive_preperiod,False,False
software_developers,Desenvolvedores de software,age_31_34,real_admission_wage,202101,202211,23,23,45343,45273,99.84562115431268,8744.253221818019,286.50416321978327,32.13611567971901,4.521145826192991,0.03276485206362953,descriptive_preperiod,False,False
