subclasse,secao,divisao,periodo_num,treated_cbo_families,control_cbo_families,has_treated_control_coexistence
0112101,A,01,202204,11,44,true
0112101,A,01,202205,14,43,true
0112101,A,01,202206,17,51,true
0112101,A,01,202207,13,43,true
0112101,A,01,202208,15,45,true
0112101,A,01,202209,12,45,true
0112101,A,01,202210,14,45,true
0112101,A,01,202211,14,45,true
0112101,A,01,202212,14,42,true
0112101,A,01,202301,8,44,true
0112101,A,01,202302,14,41,true
0112101,A,01,202303,14,48,true
0112101,A,01,202304,12,39,true
0112101,A,01,202305,10,44,true
0112101,A,01,202306,11,43,true
0112101,A,01,202307,16,43,true
0112101,A,01,202308,10,43,true
0112101,A,01,202309,10,44,true
0112101,A,01,202310,14,46,true
0112101,A,01,202311,10,36,true
0112101,A,01,202312,10,44,true
0112101,A,01,202401,9,45,true
0112101,A,01,202402,12,40,true
0112101,A,01,202403,12,41,true
0112101,A,01,202404,11,43,true
0112101,A,01,202405,12,44,true
0112101,A,01,202406,11,49,true
0112101,A,01,202407,16,48,true
0112101,A,01,202408,14,45,true
0112101,A,01,202409,12,50,true
0112101,A,01,202410,12,52,true
0112101,A,01,202411,14,48,true
0112101,A,01,202412,15,37,true
0112101,A,01,202501,13,42,true
0112101,A,01,202502,13,46,true
0112101,A,01,202503,11,47,true
