model_id,cut,outcome,position,term,event_time,coefficient,standard_error,n_obs,minimum_clusters,reference_event_time,status
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,18,"C(event_time, contr.treatment(base=-1))[-5]:pretrend_treated_high",-5,-0.02252820725645464,0.01268610888428659,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,19,"C(event_time, contr.treatment(base=-1))[-4]:pretrend_treated_high",-4,-0.010297260886519267,0.012190936500611071,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,20,"C(event_time, contr.treatment(base=-1))[-3]:pretrend_treated_high",-3,0.010539209731072285,0.0124430174656701,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,21,"C(event_time, contr.treatment(base=-1))[-2]:pretrend_treated_high",-2,0.02417589582335657,0.013092165429298858,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,0,"C(event_time, contr.treatment(base=-1))[-23]:pretrend_treated_high",-23,0.004092497620043807,0.008092891362136376,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,1,"C(event_time, contr.treatment(base=-1))[-22]:pretrend_treated_high",-22,-0.014867463718494827,0.007791363579258067,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,2,"C(event_time, contr.treatment(base=-1))[-21]:pretrend_treated_high",-21,-0.010989627382469704,0.008118714560128377,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,3,"C(event_time, contr.treatment(base=-1))[-20]:pretrend_treated_high",-20,-0.00996694035155963,0.00794389906131409,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,4,"C(event_time, contr.treatment(base=-1))[-19]:pretrend_treated_high",-19,0.004984945222576256,0.007804001675933803,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,5,"C(event_time, contr.treatment(base=-1))[-18]:pretrend_treated_high",-18,-0.010150696096891386,0.008134016390138518,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,6,"C(event_time, contr.treatment(base=-1))[-17]:pretrend_treated_high",-17,-0.007886720135872896,0.008135204852882957,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,7,"C(event_time, contr.treatment(base=-1))[-16]:pretrend_treated_high",-16,-0.0036152642662780217,0.008526856820353557,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,8,"C(event_time, contr.treatment(base=-1))[-15]:pretrend_treated_high",-15,0.0001344837969542836,0.007841621979150273,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,9,"C(event_time, contr.treatment(base=-1))[-14]:pretrend_treated_high",-14,-0.009990139517561523,0.007913567105088594,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,10,"C(event_time, contr.treatment(base=-1))[-13]:pretrend_treated_high",-13,-0.0007572745239525363,0.007743303180072192,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,11,"C(event_time, contr.treatment(base=-1))[-12]:pretrend_treated_high",-12,0.005798642263828474,0.00815908676600925,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,12,"C(event_time, contr.treatment(base=-1))[-11]:pretrend_treated_high",-11,-0.0024018765546151076,0.008053845042081665,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,13,"C(event_time, contr.treatment(base=-1))[-10]:pretrend_treated_high",-10,-0.007953694724153481,0.007993511493845896,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,14,"C(event_time, contr.treatment(base=-1))[-9]:pretrend_treated_high",-9,-0.007595159553613792,0.008061329933649967,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,15,"C(event_time, contr.treatment(base=-1))[-8]:pretrend_treated_high",-8,-0.0068231346694301205,0.007952483715430912,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,16,"C(event_time, contr.treatment(base=-1))[-7]:pretrend_treated_high",-7,-0.010506573883258263,0.00771432588860155,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,17,"C(event_time, contr.treatment(base=-1))[-6]:pretrend_treated_high",-6,-0.006172372216256388,0.008167899370115165,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,18,"C(event_time, contr.treatment(base=-1))[-5]:pretrend_treated_high",-5,-0.005617148175674893,0.007765214619975466,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,19,"C(event_time, contr.treatment(base=-1))[-4]:pretrend_treated_high",-4,-0.0058297646613895086,0.007606393357477472,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,20,"C(event_time, contr.treatment(base=-1))[-3]:pretrend_treated_high",-3,-0.004670449455843964,0.007800352934449336,1231420,657,-1,estimated
spatial_pretrend__within_sample__ln_salario_real_adm,within_sample,ln_salario_real_adm,21,"C(event_time, contr.treatment(base=-1))[-2]:pretrend_treated_high",-2,0.0033488594578050456,0.008203966821922518,1231420,657,-1,estimated
