analysis_family,model_id,outcome,estimator,joint_lead_count,joint_lead_statistic,joint_lead_p_value,lead_covariance_positive_semidefinite,lead_covariance_min_eigenvalue,lead_covariance_dimension,lead_covariance_rank,lead_covariance_full_rank,lead_covariance_condition_number,lead_covariance_rank_tolerance,lead_covariance_psd_tolerance,linear_pretrend_coefficient,linear_pretrend_standard_error,linear_pretrend_p_value,dynamic_pre_p_lt_005,dynamic_min_p_value,pretrend_status,n_obs,minimum_clusters,sample_id,status,reference_event_time,independent_engine_status,independent_engine_pretrend_status
ddd_pretrend,ddd_pretrend::A::education::higher_education::desligamentos,desligamentos,ppml,22,90.108861209427,3.28416900611761e-10,TRUE,3.07492506724814e-05,22,22,TRUE,2548.60709433562,3.82825035007212e-16,-1e-08,-2.77976460970835e-05,0.00119873295596519,0.981512964802193,6,0.00148103247216927,fail,31870,341,family_A:education:higher_education,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::education::higher_education::ln_salario_real_adm,ln_salario_real_adm,ols,22,30.1063890374938,0.115901429810475,TRUE,0.000106264857189055,22,22,TRUE,137.86411580909,7.1565516338548e-17,-1e-08,0.00077572990860114,0.000778806599780836,0.319934446126808,1,0.0356364452115973,warning,30703,341,family_A:education:higher_education,estimated,-1,estimated,warning
ddd_pretrend,ddd_pretrend::A::education::higher_education::n_movimentacoes,n_movimentacoes,ppml,22,112.935513860602,3.29113552785171e-14,TRUE,2.02312414973414e-05,22,22,TRUE,6072.2218757219,6.00113052195963e-16,-1e-08,-0.00297821741653421,0.00108897713172542,0.00656746497361896,1,0.0369711176697117,fail,31870,341,family_A:education:higher_education,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::income::high_income::admissoes,admissoes,ppml,22,1016.96696874051,4.78677211988214e-201,TRUE,1.39371700377123e-05,22,22,TRUE,15750.4645695924,1.07233596743414e-15,-1e-08,-0.00398788472512256,0.00113119043351312,0.000480796507347659,6,0.00495828476250382,fail,15935,341,family_A:income:high_income,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::income::high_income::asinh_saldo,asinh_saldo,ols,22,283.232263063056,3.01867757026942e-47,TRUE,0.0580754100523894,22,22,TRUE,1846.93072592207,5.23969246528235e-13,-1.6254349359064e-07,0.102884084810652,0.0261306234722602,9.99788235871714e-05,6,0.0178654351649471,fail,15935,341,family_A:income:high_income,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::income::high_income::desligamentos,desligamentos,ppml,22,660.088807859358,2.00824780308192e-125,TRUE,1.09042255932208e-05,22,22,TRUE,10604.4489821268,5.64866528628171e-16,-1e-08,0.00913156804604378,0.00102813041544892,3.87634342570366e-17,1,0.0476145399507062,fail,15935,341,family_A:income:high_income,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::income::high_income::ln_salario_real_adm,ln_salario_real_adm,ols,22,97.8760857455697,1.51274104225137e-11,TRUE,4.62966905604141e-05,22,22,TRUE,1289.37658302787,2.91603432726327e-16,-1e-08,0.000383164528752079,0.000682514312879622,0.574893727308621,1,0.0198537630804937,fail,15907,341,family_A:income:high_income,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::income::high_income::n_movimentacoes,n_movimentacoes,ppml,22,903.317457673264,7.00081880294913e-177,TRUE,9.39245668444584e-06,22,22,TRUE,11586.3793511565,5.31605971704545e-16,-1e-08,-0.00538329973804819,0.00114695783217193,3.89892012887829e-06,4,0.00122456770378386,fail,15935,341,family_A:income:high_income,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::income::low_income::admissoes,admissoes,ppml,22,90.2172666729463,3.1475169524925e-10,TRUE,5.62779741550195e-05,22,22,TRUE,3146.09575402334,8.64914740217537e-16,-1e-08,0.00269889753586146,0.00192671656228676,0.162193183482319,9,0.000837968227537885,fail,15935,341,family_A:income:low_income,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::income::low_income::asinh_saldo,asinh_saldo,ols,22,28.7775377573233,0.151322507244242,TRUE,0.199805839891992,22,22,TRUE,163.562695768175,1.5964500824974e-13,-2.88397559801587e-08,0.0783458288862482,0.0401426245829263,0.0517961407871397,14,0.00330250878158321,fail,15935,341,family_A:income:low_income,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::income::low_income::desligamentos,desligamentos,ppml,22,48.6252300560621,0.000896556388380773,TRUE,2.86840679206533e-05,22,22,TRUE,2750.32212890578,3.85378260077695e-16,-1e-08,7.6030398237023e-05,0.0017699750942763,0.965762117072895,0,0.0879639672968797,fail,15935,341,family_A:income:low_income,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::income::low_income::ln_salario_real_adm,ln_salario_real_adm,ols,22,25.2157142716603,0.28687061345112,TRUE,0.00014162689242515,22,22,TRUE,176.672257719465,1.22229769072378e-16,-1e-08,0.00155400150365274,0.00110832713603927,0.161793379878548,1,0.0367938285152053,warning,15907,341,family_A:income:low_income,estimated,-1,estimated,warning
ddd_pretrend,ddd_pretrend::A::income::low_income::n_movimentacoes,n_movimentacoes,ppml,22,60.140865405649,2.13010944400834e-05,TRUE,1.87151293066115e-05,22,22,TRUE,4734.68813218168,4.32859662257334e-16,-1e-08,-0.00335452164262634,0.00175433367415103,0.0566991393219594,7,0.00630263130077657,fail,15935,341,family_A:income:low_income,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::income::middle_income::admissoes,admissoes,ppml,22,112.604876617079,3.77285969610167e-14,TRUE,3.61513553519607e-05,22,22,TRUE,5228.32437610236,9.23315262723618e-16,-1e-08,-0.00185252031169792,0.00189354427873632,0.328604344286416,9,0.0010587477251431,fail,15935,341,family_A:income:middle_income,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::income::middle_income::asinh_saldo,asinh_saldo,ols,22,29.8943068211111,0.121056029798169,TRUE,0.183359748131963,22,22,TRUE,182.763030911591,1.63702481114577e-13,-2.96161633257418e-08,-0.0766870422781688,0.039837427286968,0.0550633894127639,11,0.00455119388967249,fail,15935,341,family_A:income:middle_income,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::income::middle_income::desligamentos,desligamentos,ppml,22,49.3863040948999,0.000709396575297646,TRUE,2.82289710320632e-05,22,22,TRUE,2944.71575695686,4.06070401219312e-16,-1e-08,0.000537981755174165,0.00176178453416817,0.760277445838876,0,0.0728096907979987,fail,15935,341,family_A:income:middle_income,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::income::middle_income::ln_salario_real_adm,ln_salario_real_adm,ols,22,24.4594261962079,0.323616254217557,TRUE,0.000137606507784567,22,22,TRUE,213.560681918489,1.4355660483815e-16,-1e-08,-0.00178694742383368,0.00117266344167323,0.128479107218089,2,0.0294228561572274,fail,15907,341,family_A:income:middle_income,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::income::middle_income::n_movimentacoes,n_movimentacoes,ppml,22,62.6744383408093,8.90824762590765e-06,TRUE,1.60728989896419e-05,22,22,TRUE,6023.44800311573,4.72935905796586e-16,-1e-08,0.0027605815204867,0.00174391890170464,0.11435667436167,7,0.0093193119209177,fail,15935,341,family_A:income:middle_income,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::race_color::race_black::admissoes,admissoes,ppml,22,213.64837048819,2.37690370458336e-33,TRUE,3.11521576773772e-05,22,22,TRUE,581.692355081217,8.85206093392217e-17,-1e-08,0.00688691719846506,0.000721499629475688,2.7529548984879e-19,9,2.32093729205362e-06,fail,31861,341,family_A:race_color:race_black,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::race_color::race_black::asinh_saldo,asinh_saldo,ols,22,43.8832961821348,0.00366765044774165,TRUE,0.0601029096537948,22,22,TRUE,99.5695886583789,2.92337895692723e-14,-1e-08,0.0102342676950783,0.0164691996727147,0.534740620404432,17,8.04594308748835e-05,fail,31870,341,family_A:race_color:race_black,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::race_color::race_black::desligamentos,desligamentos,ppml,22,239.577160680438,1.73131759535705e-38,TRUE,2.23446683194433e-05,22,22,TRUE,240.128695047218,2.62108363870613e-17,-1e-08,0.00653983979287286,0.000508803873801102,4.33884283284655e-31,12,1.29014761370122e-06,fail,31861,341,family_A:race_color:race_black,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::race_color::race_black::ln_salario_real_adm,ln_salario_real_adm,ols,22,27.8399636569744,0.181045762947616,TRUE,0.000170573970681333,22,22,TRUE,59.9050924719309,4.9915957747911e-17,-1e-08,0.00169246298685001,0.00073615940361574,0.0221082869467671,1,0.0476716086238337,fail,30827,341,family_A:race_color:race_black,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::race_color::race_black::n_movimentacoes,n_movimentacoes,ppml,22,194.057776215091,1.64746244412704e-29,TRUE,1.63781297679196e-05,22,22,TRUE,475.074386192641,3.80092088519996e-17,-1e-08,0.00596277120860652,0.000558539814978346,3.88327933044629e-23,9,5.83891418043309e-10,fail,31861,341,family_A:race_color:race_black,estimated,-1,estimated,fail
