outcome,row_position,column_position,row_event_time,column_event_time,covariance_python,covariance_r,_merge,covariance_absolute_difference,comparison_pass
ln_salario_real_adm,21,40,-2,18,0.0001241941821007,0.0001241941821001,both,5.999974822534782e-16,True
ln_salario_real_adm,21,41,-2,19,0.0001083030499899,0.0001083030499893,both,6.000110347806342e-16,True
ln_salario_real_adm,21,42,-2,20,0.0001414696109792,0.0001414696109785,both,7.000151326652659e-16,True
ln_salario_real_adm,21,43,-2,21,8.833584093185e-05,8.83358409312896e-05,both,5.603969979034451e-16,True
ln_salario_real_adm,21,44,-2,22,0.0001053822484878,0.0001053822484872,both,5.999974822534782e-16,True
ln_salario_real_adm,21,45,-2,23,5.862140674872006e-05,5.86214067482853e-05,both,4.3475829490310924e-16,True
ln_salario_real_adm,22,0,0,-23,1.4244520820684866e-05,1.42445208202369e-05,both,4.479669266825928e-16,True
ln_salario_real_adm,22,1,0,-22,1.2170352629778705e-06,1.21703526264223e-06,both,3.3564040523954234e-16,True
ln_salario_real_adm,22,2,0,-21,7.790138445185273e-05,7.79013844514271e-05,both,4.256306678634969e-16,True
ln_salario_real_adm,22,3,0,-20,8.794333344441984e-05,8.79433334440648e-05,both,3.5504910643469056e-16,True
ln_salario_real_adm,22,4,0,-19,6.965182140287783e-05,6.96518214025607e-05,both,3.1712913545201005e-16,True
ln_salario_real_adm,22,5,0,-18,0.0001287139806621,0.0001287139806615,both,5.999974822534782e-16,True
ln_salario_real_adm,22,6,0,-17,1.4922771276813995e-05,1.49227712763597e-05,both,4.542959568644769e-16,True
ln_salario_real_adm,22,7,0,-16,-1.1193443739495172e-05,-1.11934437396103e-05,both,1.151287181908045e-16,True
ln_salario_real_adm,22,8,0,-15,6.55001687736668e-05,6.55001687730393e-05,both,6.274955598531418e-16,True
ln_salario_real_adm,22,9,0,-14,4.374911823216294e-05,4.37491182316861e-05,both,4.768388917227029e-16,True
ln_salario_real_adm,22,10,0,-13,2.9662717198045373e-05,2.96627171976025e-05,both,4.4287287053780544e-16,True
ln_salario_real_adm,22,11,0,-12,4.368791487946841e-05,4.36879148791339e-05,both,3.345102515296683e-16,True
ln_salario_real_adm,22,12,0,-11,7.269626556660759e-05,7.2696265566032e-05,both,5.755893808453982e-16,True
ln_salario_real_adm,22,13,0,-10,4.1334468544942544e-05,4.13344685444838e-05,both,4.58746267969351e-16,True
ln_salario_real_adm,22,14,0,-9,6.339964371405907e-05,6.33996437134581e-05,both,6.009732642087151e-16,True
ln_salario_real_adm,22,15,0,-8,4.182062793337137e-05,4.18206279328419e-05,both,5.294701309332961e-16,True
ln_salario_real_adm,22,16,0,-7,7.379100937408132e-05,7.37910093735091e-05,both,5.722148015835371e-16,True
ln_salario_real_adm,22,17,0,-6,6.590989316710574e-05,6.59098931666089e-05,both,4.968356455414824e-16,True
