outcome,outcome_label,t,is_reference,is_pre,n_obs,n_cbo,coef,se,p_value,ci_low,ci_high,coefficient_status
ln_salario_adm,Salário de admissão (log),15,False,False,18307,341,-0.08908979769305618,0.04420900976074618,0.04467078780670364,-0.17573945682411868,-0.0024401385619936683,estimated
ln_salario_adm,Salário de admissão (log),16,False,False,18307,341,-0.0774971461652847,0.04588113845877771,0.09211990663879566,-0.16742417754448902,0.012429885213919606,estimated
ln_salario_adm,Salário de admissão (log),17,False,False,18307,341,-0.07081387325558804,0.048992230118464056,0.14926373273733962,-0.1668386442877776,0.025210897776601515,estimated
ln_salario_adm,Salário de admissão (log),18,False,False,18307,341,-0.06146448724631979,0.04662649839473955,0.18831376641203668,-0.1528524241000093,0.029923449607369722,estimated
ln_salario_adm,Salário de admissão (log),19,False,False,18307,341,-0.07287608338160666,0.05055071654281073,0.15032353853806057,-0.17195548780551567,0.02620332104230237,estimated
ln_salario_adm,Salário de admissão (log),20,False,False,18307,341,-0.08355056369904446,0.049667885966100056,0.0934511259833386,-0.18089962019260056,0.013798492794511646,estimated
ln_salario_adm,Salário de admissão (log),21,False,False,18307,341,-0.05476171945545466,0.04233136501198977,0.1966665289109628,-0.13773119487895463,0.028207755968045298,estimated
ln_salario_adm,Salário de admissão (log),22,False,False,18307,341,-0.0523042703280741,0.04506789022689008,0.2466325850732929,-0.14063733517277865,0.03602879451663046,estimated
ln_salario_adm,Salário de admissão (log),23,False,False,18307,341,-0.07765069544412821,0.04217675282182762,0.06648119124499319,-0.16031713097491035,0.005015740086653911,estimated
ln_salario_adm,Salário de admissão (log),24,False,False,18307,341,-0.04865367492828675,0.04193460098290596,0.24677025516357198,-0.13084549285478242,0.03353814299820894,estimated
ln_salario_desl,Salário de demissão (log),-12,False,True,18307,341,-0.01657897289051438,0.041567883399685875,0.6902607958497264,-0.09805202435389869,0.06489407857286993,estimated
ln_salario_desl,Salário de demissão (log),-11,False,True,18307,341,-0.0649917181227666,0.05268329340897002,0.218192731452433,-0.16825097320434784,0.03826753695881463,estimated
ln_salario_desl,Salário de demissão (log),-10,False,True,18307,341,-0.039363304528570536,0.04014515378242316,0.3275244908243937,-0.11804780594211992,0.03932119688497884,estimated
ln_salario_desl,Salário de demissão (log),-9,False,True,18307,341,-0.009295897932926378,0.03509589919538761,0.7912690774645039,-0.07808386035588609,0.05949206449003334,estimated
ln_salario_desl,Salário de demissão (log),-8,False,True,18307,341,-0.03348805582696283,0.0495985369590013,0.50001883024553,-0.13070118826660537,0.06372507661267973,estimated
ln_salario_desl,Salário de demissão (log),-7,False,True,18307,341,-0.018092058296197217,0.04083965067039702,0.6580458117270598,-0.09813777361017537,0.06195365701778094,estimated
ln_salario_desl,Salário de demissão (log),-6,False,True,18307,341,0.06512526736760334,0.04847784156099797,0.18003752722944966,-0.02989130209195269,0.16014183682715938,estimated
ln_salario_desl,Salário de demissão (log),-5,False,True,18307,341,-0.0805263273547965,0.12460121658505752,0.5185389387182413,-0.3247447118615092,0.16369205715191623,estimated
ln_salario_desl,Salário de demissão (log),-4,False,True,18307,341,-0.028561969874977697,0.03611605460068719,0.42958947468559616,-0.09934943689232459,0.0422254971423692,estimated
ln_salario_desl,Salário de demissão (log),-3,False,True,18307,341,-0.04178864105326422,0.03999491028977695,0.2968350520156484,-0.12017866522122703,0.03660138311469859,estimated
ln_salario_desl,Salário de demissão (log),-2,False,True,18307,341,-0.08554602960494394,0.12187935206057908,0.48322727912035424,-0.3244295596436789,0.15333750043379107,estimated
ln_salario_desl,Salário de demissão (log),-1,True,False,18307,341,0.0,0.0,,0.0,0.0,reference
ln_salario_desl,Salário de demissão (log),0,False,False,18307,341,0.008060062126259196,0.044423288299760784,0.8561320931185705,-0.07900958294127194,0.09512970719379032,estimated
ln_salario_desl,Salário de demissão (log),1,False,False,18307,341,0.021268766039591068,0.049318776471159786,0.6665592555715656,-0.0753960358438821,0.11793356792306425,estimated
ln_salario_desl,Salário de demissão (log),2,False,False,18307,341,-0.010302313371395486,0.0442963329176364,0.8162297361016035,-0.09712312588996283,0.07651849914717185,estimated
ln_salario_desl,Salário de demissão (log),3,False,False,18307,341,0.001740178555860114,0.037927910681719204,0.9634318640208832,-0.07259852638030952,0.07607888349202975,estimated
ln_salario_desl,Salário de demissão (log),4,False,False,18307,341,0.00657910182579194,0.0350045150203876,0.8510278950815939,-0.062029747614167755,0.07518795126575163,estimated
ln_salario_desl,Salário de demissão (log),5,False,False,18307,341,-0.048174041967035154,0.03707284870625967,0.19467244439402664,-0.12083682543130411,0.024488741497233797,estimated
ln_salario_desl,Salário de demissão (log),6,False,False,18307,341,-0.12364913337585665,0.13335991881524453,0.3544888975728404,-0.38503457425373594,0.13773630750202265,estimated
ln_salario_desl,Salário de demissão (log),7,False,False,18307,341,0.01499715921255217,0.049294598588532225,0.7611347152417982,-0.08162025402097099,0.11161457244607532,estimated
ln_salario_desl,Salário de demissão (log),8,False,False,18307,341,0.009240978802166204,0.03225672328874372,0.7746832701126922,-0.05398219884377148,0.07246415644810389,estimated
ln_salario_desl,Salário de demissão (log),9,False,False,18307,341,-0.005732323045928458,0.043749011689265996,0.8958310572828139,-0.0914803859568898,0.0800157398650329,estimated
ln_salario_desl,Salário de demissão (log),10,False,False,18307,341,-0.017748043109082765,0.04705037991704467,0.7062502109313136,-0.10996678774649032,0.0744707015283248,estimated
ln_salario_desl,Salário de demissão (log),11,False,False,18307,341,-0.02029601253458573,0.04101725082118726,0.621049247340359,-0.10068982414411276,0.06009779907494131,estimated
ln_salario_desl,Salário de demissão (log),12,False,False,18307,341,-0.030187010951234373,0.039696382828459324,0.447514218022826,-0.10799192129501464,0.047617899392545904,estimated
ln_salario_desl,Salário de demissão (log),13,False,False,18307,341,-0.04815457637310629,0.03964546872071925,0.2253501245117795,-0.12585969506571604,0.029550542319503444,estimated
ln_salario_desl,Salário de demissão (log),14,False,False,18307,341,0.0013282015388193455,0.03516891968899345,0.9698961427153057,-0.06760288105160782,0.07025928412924652,estimated
ln_salario_desl,Salário de demissão (log),15,False,False,18307,341,0.009538416140620384,0.04134378106748601,0.8176790069028308,-0.0714953947516522,0.09057222703289297,estimated
ln_salario_desl,Salário de demissão (log),16,False,False,18307,341,0.014891749729571848,0.03759106290131209,0.6922418814730413,-0.05878673355699985,0.08857023301614354,estimated
ln_salario_desl,Salário de demissão (log),17,False,False,18307,341,-0.04679575544694455,0.039596849837317864,0.2381089826532672,-0.12440558112808756,0.030814070234198458,estimated
ln_salario_desl,Salário de demissão (log),18,False,False,18307,341,0.009139795431187342,0.03994555746509675,0.8191570266838699,-0.06915349720040229,0.08743308806277697,estimated
ln_salario_desl,Salário de demissão (log),19,False,False,18307,341,-0.1659033669409485,0.13081713373039933,0.20559129267062226,-0.42230494905253113,0.09049821517063414,estimated
ln_salario_desl,Salário de demissão (log),20,False,False,18307,341,0.02926103880233286,0.034003151305406445,0.39009838526436447,-0.03738513775626377,0.09590721536092948,estimated
ln_salario_desl,Salário de demissão (log),21,False,False,18307,341,0.02132412921635758,0.03281716861629357,0.5162693685689903,-0.04299752127157781,0.08564577970429298,estimated
ln_salario_desl,Salário de demissão (log),22,False,False,18307,341,-0.046052788432916394,0.031592157411164494,0.1458384118803493,-0.1079734169587988,0.01586784009296601,estimated
ln_salario_desl,Salário de demissão (log),23,False,False,18307,341,-0.05423235807180241,0.037239550736859056,0.14622954142751077,-0.12722187751604616,0.018757161372441343,estimated
ln_salario_desl,Salário de demissão (log),24,False,False,18307,341,-0.007190033125322073,0.03176449610877392,0.8210618177688489,-0.06944844549851895,0.055068379247874805,estimated
